epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2096,1.20772,3.2285,1.58794,0.00488,0.96429,0.21954,0.09769,1.34185,3.1375,1.93577,0.00015719,0.00015719,0.00015719
2,31.7671,0.9401,2.85451,1.38086,0.00595,0.97294,0.41728,0.18067,1.29942,3.05615,1.92938,0.000325416,0.000325416,0.000325416
3,38.0966,0.89051,2.49323,1.32684,0.00678,0.97294,0.40741,0.17984,1.54538,3.02661,2.31911,0.000490247,0.000490247,0.000490247
4,43.7538,0.96274,2.00968,1.36748,0.00645,0.88961,0.31645,0.14154,1.60949,2.9999,2.25739,0.000651683,0.000651683,0.000651683
5,50.8041,0.97505,1.70617,1.37647,0.00573,0.91044,0.36392,0.15866,1.66527,2.92645,2.48025,0.000809723,0.000809723,0.000809723
6,56.0921,0.95179,1.58816,1.32111,0.85672,0.19621,0.46932,0.2236,1.62437,2.67781,2.3272,0.000964368,0.000964368,0.000964368
7,62.6607,0.93874,1.40735,1.31628,0.77635,0.29967,0.42616,0.22834,1.78559,2.49537,2.59049,0.00111562,0.00111562,0.00111562
8,68.021,0.97563,1.42819,1.33227,0.25465,0.24675,0.31369,0.1423,2.01498,2.48133,2.7241,0.00126347,0.00126347,0.00126347
9,74.1189,0.97632,1.33092,1.30622,0.32115,0.33387,0.36058,0.12805,2.0956,2.63119,3.15261,0.00131582,0.00131582,0.00131582
10,82.5408,0.89932,1.20988,1.28514,0.40878,0.43692,0.35084,0.09868,2.10923,2.60753,2.84782,0.00130168,0.00130168,0.00130168
11,90.249,0.96725,1.25009,1.32884,0.2063,0.40666,0.25281,0.11114,1.7462,2.73132,2.53702,0.00128753,0.00128753,0.00128753
12,96.6839,0.90601,1.15571,1.29361,0.57524,0.44589,0.51665,0.21862,1.91678,2.28858,2.66505,0.00127338,0.00127338,0.00127338
13,104.45,0.88016,1.15049,1.27549,0.77631,0.53734,0.6201,0.32045,1.66169,1.81069,2.44329,0.00125923,0.00125923,0.00125923
14,111.02,0.92039,1.14879,1.26976,0.64427,0.43074,0.53785,0.25952,1.63991,2.14922,2.53732,0.00124509,0.00124509,0.00124509
15,118.697,0.90205,1.1045,1.25918,0.58728,0.71915,0.66607,0.30227,1.67003,1.84299,2.36387,0.00123094,0.00123094,0.00123094
16,125.558,0.86664,1.0425,1.2695,0.70094,0.54688,0.64589,0.24138,1.85204,1.991,2.61235,0.00121679,0.00121679,0.00121679
17,133.325,0.83617,0.97013,1.21822,0.69371,0.30303,0.41979,0.18931,1.95593,2.97352,2.79327,0.00120265,0.00120265,0.00120265
18,140.765,0.9205,1.00563,1.3116,0.71096,0.36688,0.42591,0.18027,1.89487,3.44479,2.69347,0.0011885,0.0011885,0.0011885
19,147.274,0.84387,0.98917,1.23429,0.73701,0.41775,0.39609,0.20346,1.69078,2.66825,2.43278,0.00117435,0.00117435,0.00117435
20,155.173,0.93307,1.02041,1.28899,0.57507,0.42318,0.45961,0.21138,1.98771,2.2719,2.61605,0.00116021,0.00116021,0.00116021
21,161.909,0.80614,0.89691,1.22602,0.68098,0.58937,0.60796,0.2892,1.8767,2.13657,2.56633,0.00114606,0.00114606,0.00114606
22,169.716,0.85389,0.97974,1.25138,0.79853,0.35173,0.48051,0.24254,1.82864,2.282,2.61858,0.00113191,0.00113191,0.00113191
23,176.196,0.8756,0.96793,1.25289,0.51179,0.54083,0.48414,0.23169,1.91208,2.3048,2.7353,0.00111776,0.00111776,0.00111776
24,183.955,0.84093,0.88009,1.22733,0.4235,0.63508,0.59246,0.25286,2.06573,2.03053,2.80403,0.00110362,0.00110362,0.00110362
25,190.941,0.84157,0.8989,1.21546,0.60507,0.73485,0.64098,0.30889,1.79556,1.50455,2.49937,0.00108947,0.00108947,0.00108947
26,198.498,0.7675,0.82985,1.19928,0.62163,0.50996,0.56717,0.33767,1.75674,1.5362,2.62118,0.00107532,0.00107532,0.00107532
27,206.28,0.78495,0.82138,1.20906,0.6456,0.57254,0.58884,0.30136,1.84969,1.79338,2.72118,0.00106118,0.00106118,0.00106118
28,212.84,0.7781,0.80249,1.17835,0.71631,0.6737,0.68382,0.34234,1.72436,1.51116,2.53873,0.00104703,0.00104703,0.00104703
29,220.922,0.71435,0.74358,1.1555,0.87423,0.76187,0.82411,0.38391,1.7017,1.3335,2.43584,0.00103288,0.00103288,0.00103288
30,227.505,0.76401,0.78017,1.17933,0.66987,0.69263,0.68607,0.35591,1.67167,1.53175,2.29315,0.00101873,0.00101873,0.00101873
31,235.381,0.73811,0.75195,1.17032,0.66619,0.58749,0.61504,0.29347,1.78618,1.77899,2.46051,0.00100459,0.00100459,0.00100459
32,242.112,0.79958,0.75934,1.18207,0.64826,0.63074,0.62157,0.33206,1.77232,1.53859,2.42985,0.00099044,0.00099044,0.00099044
33,249.804,0.71619,0.72943,1.14363,0.75741,0.63962,0.65406,0.2962,1.84864,1.54861,2.58903,0.000976293,0.000976293,0.000976293
34,257.068,0.76333,0.7306,1.19339,0.70989,0.69448,0.701,0.35191,1.63744,1.407,2.27372,0.000962146,0.000962146,0.000962146
35,263.884,0.76752,0.79444,1.18813,0.67606,0.65451,0.71963,0.30366,1.74113,1.72624,2.42383,0.000947999,0.000947999,0.000947999
36,271.683,0.71933,0.72765,1.14232,0.68086,0.76207,0.71331,0.34192,1.62337,1.52037,2.23357,0.000933851,0.000933851,0.000933851
37,278.377,0.72904,0.70533,1.1532,0.73671,0.67941,0.69935,0.38272,1.59335,1.3946,2.24273,0.000919704,0.000919704,0.000919704
38,285.819,0.73341,0.70374,1.17288,0.76704,0.65563,0.72373,0.36163,1.6084,1.4921,2.24557,0.000905557,0.000905557,0.000905557
39,292.392,0.69981,0.67705,1.12094,0.74712,0.70339,0.72923,0.39013,1.57629,1.35869,2.13714,0.00089141,0.00089141,0.00089141
40,300.026,0.71261,0.66882,1.15233,0.77351,0.63607,0.6908,0.40937,1.5754,1.0648,2.14152,0.000877263,0.000877263,0.000877263
41,306.701,0.75941,0.7258,1.15888,0.62432,0.70918,0.6272,0.40001,1.59523,1.1065,2.07437,0.000863116,0.000863116,0.000863116
42,314.555,0.72706,0.68092,1.16368,0.55711,0.72073,0.66677,0.39069,1.53746,1.20005,1.99998,0.000848969,0.000848969,0.000848969
43,321.453,0.7173,0.65853,1.1469,0.66107,0.69386,0.76973,0.40384,1.53609,1.14288,1.98873,0.000834822,0.000834822,0.000834822
44,328.694,0.68676,0.64425,1.11865,0.73761,0.77115,0.79298,0.42157,1.56731,1.05864,2.0552,0.000820675,0.000820675,0.000820675
45,336.31,0.65553,0.60374,1.12117,0.78366,0.7294,0.84863,0.42859,1.54712,1.12417,2.05411,0.000806528,0.000806528,0.000806528
46,342.915,0.68599,0.62528,1.14028,0.6559,0.78564,0.81002,0.42358,1.5319,1.05932,2.05594,0.00079238,0.00079238,0.00079238
47,350.815,0.65957,0.61344,1.09849,0.72526,0.86255,0.85354,0.42001,1.61252,1.07942,2.1757,0.000778233,0.000778233,0.000778233
48,357.355,0.6687,0.63679,1.09004,0.74315,0.7407,0.77042,0.39433,1.59849,1.12957,2.25438,0.000764086,0.000764086,0.000764086
49,365.027,0.66175,0.6195,1.09149,0.78745,0.74457,0.84249,0.40562,1.60274,1.16761,2.31572,0.000749939,0.000749939,0.000749939
50,371.875,0.66833,0.61364,1.10344,0.84375,0.81183,0.85198,0.39291,1.7338,1.04671,2.53774,0.000735792,0.000735792,0.000735792
51,379.667,0.66739,0.61314,1.10246,0.86821,0.70656,0.80583,0.40833,1.69062,1.04231,2.46961,0.000721645,0.000721645,0.000721645
52,386.771,0.65248,0.58904,1.10527,0.64915,0.70981,0.65226,0.29901,1.8706,1.45103,2.62052,0.000707498,0.000707498,0.000707498
53,393.805,0.65178,0.62483,1.1057,0.64779,0.71701,0.70024,0.34468,1.76412,1.21995,2.44069,0.000693351,0.000693351,0.000693351
54,401.42,0.63544,0.56706,1.09077,0.71873,0.65845,0.68087,0.38312,1.65529,0.97769,2.35635,0.000679204,0.000679204,0.000679204
55,408.037,0.60128,0.57773,1.08751,0.84602,0.73216,0.8287,0.4326,1.52228,0.94806,2.18078,0.000665057,0.000665057,0.000665057
56,415.636,0.63988,0.5566,1.07883,0.79523,0.77905,0.7803,0.44305,1.54776,0.9309,2.23676,0.000650909,0.000650909,0.000650909
57,422.316,0.66647,0.60544,1.10998,0.7785,0.75189,0.79126,0.44669,1.50982,0.87801,2.23366,0.000636762,0.000636762,0.000636762
58,430.264,0.61859,0.55355,1.05519,0.85157,0.78139,0.85518,0.46257,1.5055,0.87193,2.11394,0.000622615,0.000622615,0.000622615
59,436.876,0.61023,0.53119,1.08178,0.76404,0.82083,0.82702,0.45714,1.5339,0.89943,2.09391,0.000608468,0.000608468,0.000608468
60,444.463,0.62687,0.53984,1.0739,0.73888,0.70633,0.70709,0.42425,1.50691,0.89554,2.08475,0.000594321,0.000594321,0.000594321
61,451.4,0.58767,0.49639,1.05962,0.72962,0.69566,0.69827,0.41448,1.54522,1.01954,2.14084,0.000580174,0.000580174,0.000580174
62,458.74,0.59935,0.52226,1.07573,0.69153,0.79623,0.7757,0.43589,1.50764,1.03217,2.06655,0.000566027,0.000566027,0.000566027
63,466.439,0.60384,0.5166,1.08003,0.8362,0.76492,0.82987,0.47595,1.42756,0.92311,2.03007,0.00055188,0.00055188,0.00055188
64,472.907,0.58994,0.51873,1.05743,0.80181,0.85931,0.84743,0.46835,1.50922,0.84358,2.21493,0.000537733,0.000537733,0.000537733
65,480.833,0.59048,0.49569,1.07675,0.81245,0.88847,0.88272,0.45747,1.56364,0.91168,2.2942,0.000523586,0.000523586,0.000523586
66,487.683,0.57264,0.50915,1.06561,0.73044,0.90422,0.88726,0.47347,1.50568,0.94642,2.19417,0.000509438,0.000509438,0.000509438
67,495.671,0.56378,0.48829,1.04704,0.82829,0.8355,0.88228,0.47174,1.44173,0.87723,2.0354,0.000495291,0.000495291,0.000495291
68,502.59,0.58679,0.51067,1.0656,0.6837,0.80005,0.77705,0.4552,1.42821,0.85215,1.95159,0.000481144,0.000481144,0.000481144
69,510.518,0.58465,0.47913,1.04004,0.68186,0.63609,0.68009,0.43167,1.48977,0.94864,1.96683,0.000466997,0.000466997,0.000466997
70,517.954,0.56321,0.47287,1.05938,0.69982,0.73294,0.72494,0.42202,1.58138,0.92558,2.17487,0.00045285,0.00045285,0.00045285
71,524.749,0.56864,0.48819,1.05863,0.74237,0.84311,0.82728,0.41114,1.61913,0.92802,2.31874,0.000438703,0.000438703,0.000438703
72,532.521,0.56309,0.47353,1.06485,0.80283,0.76475,0.78802,0.41231,1.60361,0.9606,2.28826,0.000424556,0.000424556,0.000424556
73,539.207,0.56658,0.47431,1.04279,0.80949,0.76269,0.78375,0.44269,1.50036,0.88417,2.18317,0.000410409,0.000410409,0.000410409
74,546.982,0.5617,0.48924,1.04944,0.79488,0.76344,0.81848,0.46161,1.45649,0.87788,2.1649,0.000396262,0.000396262,0.000396262
75,553.699,0.54888,0.4696,1.04796,0.82261,0.78851,0.81764,0.44624,1.53124,0.89755,2.2599,0.000382115,0.000382115,0.000382115
