epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89199,1.24006,3.21479,1.53867,0.00356,0.9881,0.2335,0.14866,0.65979,2.53514,0.96779,0.00027151,0.00027151,0.00027151
2,9.68393,1.02785,2.77381,1.37883,0.28895,0.4179,0.37095,0.22798,0.85443,2.33372,1.17189,0.000551793,0.000551793,0.000551793
3,13.2484,1.22026,2.37495,1.5206,0.41121,0.13984,0.34276,0.17492,1.21605,2.19328,1.5637,0.000826416,0.000826416,0.000826416
4,16.6995,1.26546,2.12661,1.52409,0.4694,0.32478,0.33119,0.17752,1.44937,2.04833,1.66968,0.00109538,0.00109538,0.00109538
5,20.2923,1.26975,2.02063,1.52441,0.28435,0.48358,0.29218,0.13251,1.2572,2.25526,1.59556,0.00135869,0.00135869,0.00135869
6,23.7062,1.18817,1.90167,1.44501,0.2986,0.36991,0.23794,0.13303,1.20062,2.598,1.48879,0.00135826,0.00135826,0.00135826
7,27.2683,1.23126,1.84327,1.37986,0.44304,0.46675,0.47019,0.25591,1.20627,1.84621,1.55758,0.00134412,0.00134412,0.00134412
8,30.7528,1.16103,1.72106,1.41428,0.49013,0.59201,0.54058,0.29805,1.14855,1.60143,1.40586,0.00132997,0.00132997,0.00132997
9,34.1881,1.27048,1.76579,1.52496,0.61058,0.45679,0.51357,0.26121,1.23918,2.04612,1.51249,0.00131582,0.00131582,0.00131582
10,37.7303,1.12021,1.58246,1.39226,0.60552,0.67913,0.69841,0.4373,1.05502,1.59985,1.31695,0.00130168,0.00130168,0.00130168
11,41.3713,1.16141,1.46864,1.38233,0.49755,0.50411,0.51086,0.29247,1.22868,2.00911,1.47829,0.00128753,0.00128753,0.00128753
12,44.8534,1.14135,1.53933,1.36082,0.65086,0.5911,0.67603,0.45177,0.94954,1.69629,1.17482,0.00127338,0.00127338,0.00127338
13,48.3675,1.10728,1.42179,1.3782,0.7316,0.57088,0.64675,0.42278,0.97017,1.66838,1.24044,0.00125923,0.00125923,0.00125923
14,51.936,1.1117,1.40471,1.37267,0.65364,0.45441,0.54002,0.26114,1.36589,1.77088,1.6391,0.00124509,0.00124509,0.00124509
15,55.3319,1.08332,1.47306,1.33752,0.85846,0.72906,0.80105,0.53313,0.95953,1.03171,1.17683,0.00123094,0.00123094,0.00123094
16,58.7687,1.10341,1.40561,1.36709,0.68891,0.55358,0.581,0.37348,0.95045,1.74603,1.17302,0.00121679,0.00121679,0.00121679
17,62.2931,1.09426,1.32445,1.33032,0.50702,0.72179,0.7149,0.44886,1.0231,1.46248,1.22753,0.00120265,0.00120265,0.00120265
18,65.7121,1.08232,1.28666,1.31099,0.61583,0.71771,0.68146,0.44898,0.94811,1.37349,1.13343,0.0011885,0.0011885,0.0011885
19,69.1894,1.01581,1.17552,1.26422,0.78953,0.79173,0.81809,0.54988,0.89621,1.1775,1.13219,0.00117435,0.00117435,0.00117435
20,72.6398,1.05909,1.30649,1.32227,0.81178,0.86905,0.91675,0.62774,0.92381,0.79045,1.13999,0.00116021,0.00116021,0.00116021
21,76.1407,1.06449,1.13844,1.30286,0.82992,0.8124,0.83575,0.56762,0.89594,0.93261,1.10693,0.00114606,0.00114606,0.00114606
22,79.6547,1.03335,1.1645,1.31019,0.779,0.83539,0.86183,0.63163,0.80294,0.94728,1.03597,0.00113191,0.00113191,0.00113191
23,83.1127,1.03755,1.18473,1.28866,0.89865,0.79467,0.84605,0.60642,0.7777,0.92441,1.01422,0.00111776,0.00111776,0.00111776
24,86.5571,1.01709,1.14286,1.30969,0.87688,0.8092,0.88537,0.64493,0.80027,0.76063,1.01795,0.00110362,0.00110362,0.00110362
25,90.049,0.93958,1.1018,1.2619,0.79643,0.83989,0.91055,0.63869,0.8392,0.74039,1.04946,0.00108947,0.00108947,0.00108947
26,93.4641,1.05064,1.17246,1.31768,0.92703,0.85618,0.94103,0.6739,0.81202,0.673,1.01578,0.00107532,0.00107532,0.00107532
27,96.9669,1.02846,1.14591,1.32447,0.82808,0.91247,0.9159,0.65495,0.85931,0.72771,1.07124,0.00106118,0.00106118,0.00106118
28,100.405,1.00714,1.08583,1.29941,0.92293,0.84863,0.9372,0.66536,0.81485,0.67776,1.0643,0.00104703,0.00104703,0.00104703
29,103.794,0.93044,1.12089,1.2393,0.76932,0.8255,0.88651,0.64704,0.8073,0.86972,1.02345,0.00103288,0.00103288,0.00103288
30,107.198,0.94134,0.9621,1.22626,0.81899,0.85926,0.85343,0.57166,0.8323,0.87932,1.09296,0.00101873,0.00101873,0.00101873
31,110.676,0.92934,1.06312,1.24065,0.89613,0.84801,0.90751,0.6605,0.7767,0.67054,1.02346,0.00100459,0.00100459,0.00100459
32,114.101,0.93859,0.99669,1.22846,0.88226,0.72174,0.86514,0.62539,0.79358,0.81227,1.04893,0.00099044,0.00099044,0.00099044
33,117.472,0.90404,0.98925,1.18888,0.80406,0.81271,0.92598,0.68658,0.74474,0.74982,0.98113,0.000976293,0.000976293,0.000976293
34,121.022,0.91289,0.95967,1.25081,0.91676,0.91048,0.93995,0.71677,0.71869,0.58895,0.95488,0.000962146,0.000962146,0.000962146
35,124.448,0.93403,0.96454,1.24201,0.85524,0.88949,0.94329,0.73631,0.69692,0.62597,0.94175,0.000947999,0.000947999,0.000947999
36,127.869,0.88809,0.92158,1.1924,0.85879,0.89045,0.93646,0.70789,0.75812,0.64589,0.99784,0.000933851,0.000933851,0.000933851
37,131.328,0.85566,0.871,1.18925,0.92313,0.87824,0.95476,0.71997,0.74043,0.54897,0.94713,0.000919704,0.000919704,0.000919704
38,134.736,0.88112,0.90263,1.19662,0.78222,0.87534,0.95905,0.70737,0.75322,0.67846,0.9646,0.000905557,0.000905557,0.000905557
39,138.175,0.87771,0.86979,1.17328,0.91726,0.90381,0.95081,0.71911,0.7371,0.5322,0.96795,0.00089141,0.00089141,0.00089141
40,141.638,0.86268,0.83833,1.1975,0.945,0.87356,0.94106,0.72186,0.69404,0.56352,0.92971,0.000877263,0.000877263,0.000877263
41,144.989,0.84224,0.81668,1.21005,0.96014,0.85898,0.95423,0.72846,0.68986,0.53901,0.90587,0.000863116,0.000863116,0.000863116
42,148.409,0.84344,0.83517,1.16549,0.91743,0.8592,0.94619,0.7427,0.68108,0.56644,0.91967,0.000848969,0.000848969,0.000848969
43,151.942,0.8634,0.85413,1.21585,0.8596,0.80513,0.90803,0.7113,0.6884,0.69449,0.90803,0.000834822,0.000834822,0.000834822
44,155.381,0.91306,0.90782,1.21971,0.81103,0.76765,0.87046,0.67835,0.67925,0.74289,0.90197,0.000820675,0.000820675,0.000820675
45,158.767,0.91471,0.89701,1.23878,0.92539,0.8839,0.95721,0.73244,0.7104,0.51214,0.94133,0.000806528,0.000806528,0.000806528
46,162.266,0.87148,0.82278,1.19715,0.90589,0.87588,0.95983,0.73817,0.70975,0.54473,0.94213,0.00079238,0.00079238,0.00079238
47,165.743,0.81097,0.7892,1.14827,0.94384,0.865,0.94917,0.73046,0.70029,0.52257,0.94222,0.000778233,0.000778233,0.000778233
48,169.196,0.80113,0.73267,1.1496,0.92479,0.85093,0.93068,0.73021,0.69295,0.56075,0.94058,0.000764086,0.000764086,0.000764086
49,172.612,0.80164,0.77133,1.15742,0.82552,0.72619,0.87756,0.67179,0.69722,0.86039,0.93292,0.000749939,0.000749939,0.000749939
50,176.026,0.81157,0.74883,1.17632,0.96158,0.91984,0.97709,0.78215,0.63472,0.42632,0.91423,0.000735792,0.000735792,0.000735792
51,179.579,0.77562,0.75789,1.1172,0.89604,0.89597,0.96328,0.75234,0.67989,0.5023,0.9196,0.000721645,0.000721645,0.000721645
52,182.946,0.8204,0.80972,1.16237,0.92555,0.8533,0.92353,0.70571,0.70232,0.5293,0.93463,0.000707498,0.000707498,0.000707498
53,186.332,0.84825,0.78312,1.15695,0.84695,0.87095,0.92083,0.71683,0.65608,0.56186,0.88721,0.000693351,0.000693351,0.000693351
54,189.893,0.78557,0.72568,1.14892,0.90562,0.91416,0.95392,0.72795,0.71557,0.48186,0.94443,0.000679204,0.000679204,0.000679204
55,193.287,0.85986,0.77795,1.19195,0.94607,0.93195,0.96886,0.75869,0.67915,0.43657,0.92918,0.000665057,0.000665057,0.000665057
56,196.755,0.75516,0.68071,1.13183,0.89823,0.94529,0.96454,0.76679,0.63317,0.42702,0.86292,0.000650909,0.000650909,0.000650909
