epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9859,2.836,4.22414,3.41326,0.00271,0.66298,0.01517,0.00451,3.13421,4.49202,4.59446,0.081025,0.000191667,0.000191667
2,31.1221,2.41464,3.4514,3.05456,0.00438,0.9271,0.04946,0.01402,2.77424,4.13913,3.9914,0.0612224,0.000389082,0.000389082
3,45.9984,2.35431,3.08709,3.01158,0.51864,0.15078,0.17836,0.06959,2.58665,3.49049,3.60317,0.0414172,0.000583857,0.000583857
4,62.512,2.46266,3.02172,2.99208,0.60355,0.23935,0.25518,0.1215,2.30545,3.05032,3.45502,0.0216093,0.000775992,0.000775992
5,77.9879,2.45366,2.83992,2.91938,0.22542,0.238,0.29927,0.14074,2.56535,3.12909,3.71073,0.00179882,0.000965487,0.000965487
6,93.5178,2.5167,2.77308,2.98966,0.96267,0.18234,0.25009,0.11345,2.35587,3.84458,3.33205,0.000967,0.000967,0.000967
7,108.507,2.50396,2.80419,3.03419,0.33899,0.5171,0.4092,0.18753,2.48664,3.29232,3.44712,0.0009604,0.0009604,0.0009604
8,123.944,2.41242,2.68477,2.97132,0.48286,0.58742,0.524,0.27816,2.20145,2.38945,3.2323,0.0009538,0.0009538,0.0009538
9,138.656,2.40599,2.61544,2.8817,0.50981,0.34708,0.391,0.19931,2.21351,2.71501,3.31067,0.0009472,0.0009472,0.0009472
10,153.486,2.33321,2.52616,2.86808,0.50271,0.62709,0.55254,0.28326,2.26956,2.34047,3.24924,0.0009406,0.0009406,0.0009406
11,167.304,2.35053,2.5018,2.94062,0.38193,0.6505,0.52142,0.26513,2.13131,2.03796,3.08392,0.000934,0.000934,0.000934
12,183.549,2.32688,2.51658,2.98789,0.58244,0.50851,0.51751,0.20895,2.3607,2.26898,3.30174,0.0009274,0.0009274,0.0009274
13,198.953,2.32021,2.42979,2.89037,0.57296,0.62385,0.63204,0.31753,2.06684,1.97114,3.03209,0.0009208,0.0009208,0.0009208
14,213.872,2.33641,2.44299,2.92048,0.56749,0.61296,0.6327,0.26049,2.43377,1.97503,3.32849,0.0009142,0.0009142,0.0009142
15,229.694,2.34037,2.51056,2.97621,0.64351,0.67251,0.65746,0.2729,2.60154,2.03832,3.4365,0.0009076,0.0009076,0.0009076
16,245.329,2.39424,2.45387,2.94278,0.68952,0.69127,0.70759,0.35629,2.10198,1.72787,3.01153,0.000901,0.000901,0.000901
17,260.557,2.33774,2.38475,2.87781,0.41913,0.58629,0.42326,0.20048,2.17537,2.16776,3.11622,0.0008944,0.0008944,0.0008944
18,275.526,2.30756,2.30441,2.86473,0.4593,0.62881,0.52488,0.25446,2.21636,1.94417,3.20681,0.0008878,0.0008878,0.0008878
19,291.097,2.19866,2.18042,2.76654,0.50037,0.67729,0.57284,0.3065,2.16438,1.77241,3.08733,0.0008812,0.0008812,0.0008812
20,306.266,2.28415,2.19263,2.82185,0.66893,0.52523,0.62584,0.24786,2.56136,2.05596,3.42962,0.0008746,0.0008746,0.0008746
21,321.169,2.22283,2.16854,2.70033,0.62486,0.71956,0.73502,0.40271,2.14915,1.52829,3.08053,0.000868,0.000868,0.000868
22,338.056,2.17119,2.07968,2.76884,0.50243,0.61669,0.56466,0.26719,2.25178,2.04066,3.18945,0.0008614,0.0008614,0.0008614
23,352.782,2.20908,2.04141,2.75043,0.74739,0.70788,0.75618,0.37333,2.29015,1.68807,3.18132,0.0008548,0.0008548,0.0008548
24,368.872,2.31924,2.11668,2.88766,0.76343,0.72221,0.77356,0.32968,2.62123,1.64642,3.50406,0.0008482,0.0008482,0.0008482
25,385.583,2.26921,2.12754,2.81335,0.56917,0.72487,0.61466,0.28906,2.2123,1.82085,3.06456,0.0008416,0.0008416,0.0008416
26,400.83,2.22065,2.04519,2.73863,0.76437,0.68322,0.72767,0.4225,2.135,1.45154,2.93754,0.000835,0.000835,0.000835
27,415.521,2.15173,1.9488,2.72673,0.7757,0.74026,0.79026,0.36842,2.51921,1.37728,3.23743,0.0008284,0.0008284,0.0008284
28,431.193,2.16152,1.97918,2.71199,0.76103,0.70328,0.80892,0.477,2.02313,1.32955,2.83267,0.0008218,0.0008218,0.0008218
29,447.533,2.16665,1.89293,2.70667,0.84547,0.69446,0.80665,0.41594,2.29548,1.32653,3.05546,0.0008152,0.0008152,0.0008152
30,462.455,2.13113,1.84998,2.66092,0.85932,0.689,0.8149,0.45712,2.11049,1.26014,2.91093,0.0008086,0.0008086,0.0008086
31,477.862,2.10698,1.86128,2.62494,0.82032,0.71139,0.80839,0.42008,2.44439,1.2956,3.26654,0.000802,0.000802,0.000802
32,494.004,2.16978,1.82986,2.7518,0.74993,0.70471,0.7358,0.36211,2.38301,1.4207,3.24967,0.0007954,0.0007954,0.0007954
33,509.698,2.23366,1.92344,2.75798,0.68821,0.80359,0.79403,0.38569,2.43454,1.34365,3.2391,0.0007888,0.0007888,0.0007888
34,525.086,2.14924,1.75693,2.7444,0.71851,0.84393,0.78322,0.43941,2.16865,1.26638,3.00481,0.0007822,0.0007822,0.0007822
35,540.971,2.16016,1.8491,2.71175,0.80037,0.76626,0.77496,0.4169,2.27032,1.32629,3.11412,0.0007756,0.0007756,0.0007756
36,555.98,2.10957,1.77358,2.6683,0.68609,0.7518,0.71733,0.3913,2.15524,1.55388,3.02146,0.000769,0.000769,0.000769
37,571.502,2.13399,1.82267,2.68854,0.72336,0.71772,0.70864,0.36122,2.23159,1.51017,3.05524,0.0007624,0.0007624,0.0007624
38,587.479,2.1008,1.76876,2.66108,0.66377,0.77813,0.71379,0.32706,2.31853,1.55453,3.13484,0.0007558,0.0007558,0.0007558
39,602.787,2.11872,1.83158,2.62105,0.76032,0.79116,0.83791,0.46574,2.16987,1.21961,3.02127,0.0007492,0.0007492,0.0007492
40,618.448,2.10889,1.69712,2.60638,0.84913,0.8336,0.84229,0.42977,2.38738,1.25119,3.21187,0.0007426,0.0007426,0.0007426
41,633.101,2.05936,1.73457,2.61228,0.87501,0.81853,0.85934,0.44431,2.21539,1.39687,3.08669,0.000736,0.000736,0.000736
42,648.272,2.10204,1.78605,2.62923,0.87656,0.8101,0.85549,0.49515,2.04479,1.15589,2.89677,0.0007294,0.0007294,0.0007294
43,663.852,2.08532,1.73789,2.60588,0.83916,0.78975,0.83024,0.44722,2.1943,1.22225,3.05523,0.0007228,0.0007228,0.0007228
44,679.017,2.08765,1.72576,2.69588,0.78808,0.83095,0.83259,0.44521,2.18072,1.21342,3.02656,0.0007162,0.0007162,0.0007162
45,694.488,2.0866,1.71332,2.61651,0.79087,0.8336,0.81239,0.45648,2.19814,1.24695,2.99013,0.0007096,0.0007096,0.0007096
46,710.229,2.07709,1.67434,2.59568,0.88584,0.75035,0.83001,0.42914,2.30722,1.20828,3.08562,0.000703,0.000703,0.000703
47,726.09,2.05928,1.68664,2.59405,0.86307,0.81945,0.85447,0.47886,2.13805,1.214,2.94711,0.0006964,0.0006964,0.0006964
48,741.849,2.10357,1.6607,2.59562,0.9072,0.85441,0.87155,0.4838,2.25168,1.13053,3.02306,0.0006898,0.0006898,0.0006898
49,757.023,2.06822,1.7608,2.65408,0.79148,0.82457,0.84283,0.46989,2.23428,1.18752,2.99415,0.0006832,0.0006832,0.0006832
50,771.121,2.05524,1.71326,2.56055,0.82574,0.78628,0.82526,0.45105,2.21799,1.2093,2.96441,0.0006766,0.0006766,0.0006766
51,787.035,2.04162,1.61689,2.57804,0.85383,0.79624,0.8292,0.45601,2.14734,1.17505,2.95942,0.00067,0.00067,0.00067
52,801.436,2.12906,1.68978,2.61909,0.72509,0.78425,0.81715,0.4405,2.18729,1.27588,3.02396,0.0006634,0.0006634,0.0006634
53,817.277,2.00834,1.54136,2.53022,0.85586,0.79101,0.83644,0.42229,2.24907,1.25145,3.05507,0.0006568,0.0006568,0.0006568
54,832.809,2.11953,1.67915,2.52969,0.63253,0.77952,0.7229,0.35797,2.29216,1.44527,3.12103,0.0006502,0.0006502,0.0006502
55,848.993,1.98732,1.56129,2.61126,0.7923,0.79334,0.81303,0.42869,2.23234,1.23594,3.01324,0.0006436,0.0006436,0.0006436
56,863.899,1.99101,1.58702,2.51334,0.83999,0.8457,0.83578,0.46017,2.21205,1.17955,3.03775,0.000637,0.000637,0.000637
57,879.905,2.01883,1.60017,2.60821,0.80552,0.73756,0.77065,0.42801,2.10588,1.31463,2.98822,0.0006304,0.0006304,0.0006304
58,894.577,2.01341,1.48229,2.51277,0.85505,0.7938,0.8345,0.48186,2.0804,1.18008,3.00302,0.0006238,0.0006238,0.0006238
59,909.788,1.97574,1.52672,2.61606,0.8584,0.76428,0.82005,0.48714,2.1131,1.14103,3.02726,0.0006172,0.0006172,0.0006172
60,924.363,2.06984,1.61759,2.5459,0.76837,0.75061,0.77417,0.41199,2.40973,1.25643,3.23386,0.0006106,0.0006106,0.0006106
61,940.094,2.0094,1.5742,2.54942,0.74652,0.81218,0.77843,0.49766,1.8919,1.25126,2.73517,0.000604,0.000604,0.000604
62,957.022,2.05721,1.61137,2.64418,0.87268,0.84185,0.83363,0.41875,2.43439,1.09848,3.19519,0.0005974,0.0005974,0.0005974
63,972.686,2.04152,1.54563,2.54631,0.9101,0.78941,0.84307,0.48084,2.10869,1.11258,2.90213,0.0005908,0.0005908,0.0005908
64,987.927,2.03984,1.5367,2.63046,0.74754,0.78736,0.79198,0.39318,2.4848,1.32059,3.28115,0.0005842,0.0005842,0.0005842
65,1003.59,1.92708,1.50031,2.56828,0.80526,0.77634,0.81356,0.50389,1.9714,1.12949,2.8529,0.0005776,0.0005776,0.0005776
66,1018.49,1.98267,1.49666,2.57479,0.85359,0.79392,0.83215,0.45576,2.32517,1.12334,3.16975,0.000571,0.000571,0.000571
67,1033.59,2.03382,1.47533,2.48239,0.86418,0.80339,0.84489,0.46576,2.24503,1.07342,3.0599,0.0005644,0.0005644,0.0005644
68,1048.39,2.03484,1.59345,2.55533,0.87368,0.78245,0.80468,0.43059,2.35464,1.12003,3.16228,0.0005578,0.0005578,0.0005578
69,1064.58,1.9935,1.60421,2.57853,0.75529,0.81641,0.7882,0.44112,2.12934,1.21487,2.96435,0.0005512,0.0005512,0.0005512
70,1080.28,2.02795,1.56597,2.6473,0.89397,0.8397,0.86506,0.50515,2.15806,1.0215,2.96783,0.0005446,0.0005446,0.0005446
71,1096.5,1.89467,1.47769,2.47961,0.91527,0.85449,0.85812,0.49243,2.1489,1.03824,2.94977,0.000538,0.000538,0.000538
72,1112.5,1.94516,1.44149,2.50495,0.83924,0.85713,0.85215,0.45286,2.36005,1.08758,3.16655,0.0005314,0.0005314,0.0005314
73,1127.93,2.02039,1.49357,2.5269,0.87131,0.84067,0.86138,0.49707,2.13495,0.97364,2.96229,0.0005248,0.0005248,0.0005248
74,1143.74,1.98803,1.49149,2.49312,0.84675,0.88063,0.8608,0.53516,2.02597,0.96839,2.82901,0.0005182,0.0005182,0.0005182
75,1159.63,2.03923,1.45947,2.49148,0.84325,0.85441,0.85813,0.50794,2.1331,0.96047,2.95268,0.0005116,0.0005116,0.0005116
76,1175.28,1.92937,1.40545,2.4921,0.85029,0.86397,0.85504,0.52451,2.01923,0.99557,2.83137,0.000505,0.000505,0.000505
77,1190.75,1.88689,1.38917,2.44351,0.82225,0.82989,0.8407,0.47598,2.17658,1.11783,2.98154,0.0004984,0.0004984,0.0004984
78,1205.44,2.01177,1.45787,2.56273,0.9168,0.83639,0.86291,0.53586,1.99621,1.01707,2.83331,0.0004918,0.0004918,0.0004918
79,1219.93,1.92148,1.37667,2.4617,0.87203,0.79805,0.82724,0.48701,2.18292,1.04764,2.97368,0.0004852,0.0004852,0.0004852
80,1235.96,1.9288,1.38979,2.46159,0.85116,0.84618,0.85065,0.49368,2.11861,1.05311,2.91318,0.0004786,0.0004786,0.0004786
81,1251.62,1.88388,1.31154,2.44538,0.83639,0.83419,0.83545,0.46007,2.2413,1.05631,3.07704,0.000472,0.000472,0.000472
82,1267.3,1.95961,1.40403,2.50157,0.9373,0.81126,0.85656,0.484,2.11719,1.01761,2.93529,0.0004654,0.0004654,0.0004654
83,1282.69,1.89982,1.32138,2.46827,0.83486,0.86218,0.84467,0.48938,2.13436,1.00064,2.95392,0.0004588,0.0004588,0.0004588
84,1298.63,1.93454,1.39921,2.57812,0.85897,0.8796,0.84085,0.49569,2.08881,1.09594,2.88764,0.0004522,0.0004522,0.0004522
85,1314.37,1.90285,1.42401,2.45045,0.88144,0.88886,0.84291,0.48876,2.17856,1.05986,2.97274,0.0004456,0.0004456,0.0004456
86,1329.29,1.89555,1.33822,2.44253,0.90361,0.85593,0.86393,0.47594,2.24992,1.05186,3.04662,0.000439,0.000439,0.000439
87,1343.99,1.90431,1.37123,2.43794,0.88059,0.8342,0.8505,0.46961,2.31144,1.04415,3.14421,0.0004324,0.0004324,0.0004324
88,1358.97,1.86241,1.37919,2.48737,0.89164,0.85366,0.8586,0.53339,1.91694,0.94167,2.81137,0.0004258,0.0004258,0.0004258
89,1373.51,1.83791,1.26192,2.3555,0.91139,0.84709,0.8763,0.50166,2.12779,0.94616,2.96281,0.0004192,0.0004192,0.0004192
90,1388.28,1.8938,1.36483,2.35012,0.91025,0.8669,0.86983,0.52522,2.06746,0.96272,2.94116,0.0004126,0.0004126,0.0004126
91,1403.86,1.81708,1.26881,2.3733,0.84438,0.87333,0.85744,0.50555,2.11144,1.01788,3.02048,0.000406,0.000406,0.000406
92,1419.46,1.89645,1.31189,2.43904,0.86503,0.86094,0.87413,0.51953,2.08213,0.97565,3.03266,0.0003994,0.0003994,0.0003994
93,1434.39,1.89846,1.39907,2.45751,0.89365,0.85684,0.87607,0.52632,2.09112,0.93388,3.02442,0.0003928,0.0003928,0.0003928
94,1451,1.9476,1.404,2.53637,0.85674,0.85441,0.84022,0.45247,2.37878,1.01227,3.26466,0.0003862,0.0003862,0.0003862
95,1466.42,1.82699,1.33064,2.45377,0.84252,0.87243,0.83627,0.46298,2.19968,1.10992,3.05173,0.0003796,0.0003796,0.0003796
96,1482.68,1.82552,1.29962,2.41838,0.85298,0.876,0.86294,0.51054,2.16404,1.02871,3.02704,0.000373,0.000373,0.000373
97,1498.49,1.90381,1.34723,2.50431,0.84645,0.8875,0.8628,0.53326,2.01475,0.94367,2.9368,0.0003664,0.0003664,0.0003664
98,1513.17,1.7911,1.21865,2.34017,0.88498,0.82394,0.85006,0.49456,2.09729,0.96904,2.99036,0.0003598,0.0003598,0.0003598
99,1527.43,1.82735,1.22693,2.34334,0.83818,0.87452,0.84404,0.46339,2.23906,1.0359,3.10965,0.0003532,0.0003532,0.0003532
100,1542.5,1.84807,1.2366,2.45236,0.85969,0.86143,0.84117,0.49369,2.05738,0.95727,2.91912,0.0003466,0.0003466,0.0003466
101,1558.51,1.84303,1.35494,2.43574,0.88464,0.8558,0.85823,0.47935,2.17347,0.96146,3.04272,0.00034,0.00034,0.00034
102,1574.44,1.77755,1.26195,2.36965,0.85569,0.84431,0.83358,0.50322,2.00362,0.96147,2.88615,0.0003334,0.0003334,0.0003334
103,1588.89,1.81151,1.22686,2.39455,0.81159,0.85301,0.82465,0.46828,2.21328,1.05489,3.06207,0.0003268,0.0003268,0.0003268
104,1604.15,1.83226,1.28372,2.37928,0.86455,0.82523,0.84537,0.49183,2.11482,1.01909,2.96213,0.0003202,0.0003202,0.0003202
105,1618.29,1.7975,1.21214,2.3535,0.83562,0.8463,0.84501,0.53429,1.8831,0.96556,2.74158,0.0003136,0.0003136,0.0003136
106,1634.34,1.78658,1.28358,2.35668,0.83974,0.86332,0.84064,0.4907,2.14878,0.94835,3.00926,0.000307,0.000307,0.000307
107,1649.95,1.7802,1.24728,2.32813,0.80934,0.84677,0.83523,0.5474,1.79027,0.95653,2.67348,0.0003004,0.0003004,0.0003004
108,1665.4,1.77411,1.24773,2.34934,0.82175,0.84521,0.84916,0.50019,2.06281,0.97221,2.91273,0.0002938,0.0002938,0.0002938
109,1681.16,1.79499,1.26621,2.39345,0.85158,0.85769,0.85539,0.52818,2.013,0.91851,2.87058,0.0002872,0.0002872,0.0002872
110,1696.18,1.76934,1.2173,2.34848,0.8739,0.8342,0.86218,0.50726,2.14036,0.9053,3.01873,0.0002806,0.0002806,0.0002806
111,1711.17,1.80328,1.20183,2.33228,0.88264,0.8558,0.86426,0.50666,2.07975,0.86803,2.93313,0.000274,0.000274,0.000274
112,1725.64,1.75974,1.19265,2.32857,0.86011,0.8457,0.85054,0.49656,2.07152,0.93337,2.93541,0.0002674,0.0002674,0.0002674
113,1740.21,1.74534,1.18288,2.27691,0.86934,0.86934,0.85375,0.51925,1.99437,0.91264,2.8772,0.0002608,0.0002608,0.0002608
114,1756.03,1.77998,1.21106,2.42145,0.88663,0.87086,0.86857,0.52059,2.04088,0.8555,2.93126,0.0002542,0.0002542,0.0002542
115,1771.54,1.79882,1.25059,2.37048,0.88224,0.8976,0.87242,0.49736,2.18878,0.83152,3.07979,0.0002476,0.0002476,0.0002476
116,1787.17,1.79584,1.25055,2.33887,0.87455,0.9077,0.86269,0.53299,2.03391,0.81221,2.91997,0.000241,0.000241,0.000241
117,1803.54,1.69018,1.13442,2.37179,0.83857,0.89594,0.84609,0.47946,2.16333,0.89691,3.03955,0.0002344,0.0002344,0.0002344
118,1819.3,1.727,1.17402,2.26788,0.84556,0.8558,0.85106,0.4712,2.16726,0.91728,3.06726,0.0002278,0.0002278,0.0002278
119,1833.62,1.7607,1.21183,2.36528,0.88183,0.85263,0.86038,0.50627,2.03957,0.89115,2.93158,0.0002212,0.0002212,0.0002212
120,1847.59,1.70331,1.14702,2.15473,0.86074,0.8772,0.87455,0.5074,2.16306,0.89885,3.04254,0.0002146,0.0002146,0.0002146
121,1863.37,1.76451,1.21198,2.34103,0.89591,0.86759,0.86939,0.53422,2.00814,0.86511,2.88513,0.000208,0.000208,0.000208
122,1880.17,1.7991,1.20183,2.35724,0.87622,0.87102,0.85659,0.5235,1.98999,0.89358,2.88945,0.0002014,0.0002014,0.0002014
123,1895.75,1.6723,1.13034,2.29447,0.88698,0.87277,0.86166,0.48115,2.20947,0.92335,3.11051,0.0001948,0.0001948,0.0001948
124,1910.27,1.70356,1.0447,2.25191,0.89507,0.8558,0.86566,0.52434,2.04063,0.89128,2.92795,0.0001882,0.0001882,0.0001882
125,1925.53,1.75705,1.20101,2.30748,0.83399,0.86451,0.85229,0.54292,1.94608,0.88797,2.82481,0.0001816,0.0001816,0.0001816
126,1940.19,1.71593,1.12345,2.29867,0.90117,0.82197,0.86612,0.50912,2.06006,0.91599,2.95982,0.000175,0.000175,0.000175
127,1956.55,1.72762,1.19327,2.39837,0.86892,0.8659,0.86029,0.5157,2.03723,0.90756,2.9528,0.0001684,0.0001684,0.0001684
128,1971.37,1.74447,1.11913,2.27237,0.86836,0.84431,0.85081,0.51555,1.96512,0.90596,2.87071,0.0001618,0.0001618,0.0001618
129,1986.59,1.68816,1.16917,2.29451,0.8752,0.86451,0.85007,0.51103,2.02861,0.92015,2.92843,0.0001552,0.0001552,0.0001552
130,2001.4,1.65768,1.15797,2.23457,0.89201,0.87508,0.85966,0.49145,2.09323,0.89129,3.01777,0.0001486,0.0001486,0.0001486
