epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1925,2.87031,4.52426,2.42124,0.00151,0.44268,0.00301,0.00076,4.10231,4.1871,5.00022,0.08317,0.00017,0.00017
2,25.7972,2.54716,3.61008,2.22685,0.0035,0.68572,0.0234,0.00719,3.08341,3.801,3.28486,0.0653477,0.00034769,0.00034769
3,39.4834,2.51546,3.22645,2.19149,0.005,0.9697,0.10566,0.03487,2.45003,3.53388,2.76447,0.047523,0.000523004,0.000523004
4,53.4812,2.54369,2.94988,2.1717,0.00407,0.92571,0.13735,0.03308,2.97397,3.45345,3.15898,0.0296959,0.000695942,0.000695942
5,66.5845,2.54069,2.90349,2.2141,0.20852,0.16381,0.17683,0.06728,2.43836,3.15459,2.69758,0.0118665,0.000866504,0.000866504
6,79.0418,2.48207,2.60756,1.98069,0.54802,0.22626,0.28815,0.11495,2.47922,3.97447,2.77845,0.000967,0.000967,0.000967
7,94.1123,2.52112,2.61588,2.10613,0.55333,0.30494,0.27659,0.09476,3.19773,3.39368,3.80238,0.0009604,0.0009604,0.0009604
8,106.591,2.34002,2.48005,2.05074,0.29476,0.23904,0.23933,0.10541,2.43191,3.77278,3.01312,0.0009538,0.0009538,0.0009538
9,120.406,2.3611,2.45887,2.1167,0.35198,0.4905,0.31689,0.15018,2.23778,3.56548,2.46914,0.0009472,0.0009472,0.0009472
10,133.688,2.47083,2.52583,2.10634,0.2913,0.40974,0.3589,0.16991,2.22547,4.12434,2.51935,0.0009406,0.0009406,0.0009406
11,145.262,2.38059,2.38516,2.01945,0.24345,0.47288,0.29214,0.0992,2.76159,2.97659,2.96083,0.000934,0.000934,0.000934
12,159.341,2.50153,2.39817,2.07691,0.59801,0.31913,0.2351,0.12048,2.32531,2.88393,2.57974,0.0009274,0.0009274,0.0009274
13,171.768,2.37738,2.32614,2.0277,0.68121,0.4528,0.55076,0.30008,2.35708,2.16946,2.58734,0.0009208,0.0009208,0.0009208
14,185.052,2.41128,2.32328,2.08252,0.40226,0.4376,0.37767,0.16163,2.58385,2.85023,2.77285,0.0009142,0.0009142,0.0009142
15,198.69,2.30778,2.25428,2.02104,0.38497,0.40769,0.35761,0.1646,2.37961,2.55827,2.53586,0.0009076,0.0009076,0.0009076
16,213.164,2.38493,2.27185,2.0954,0.14066,0.38189,0.11053,0.03431,2.89963,3.30528,3.10937,0.000901,0.000901,0.000901
17,226.411,2.34324,2.17975,1.98081,0.43704,0.52768,0.44041,0.24354,2.23034,2.41207,2.45271,0.0008944,0.0008944,0.0008944
18,241.029,2.35605,2.15208,2.08124,0.65876,0.62563,0.63992,0.27186,2.52637,2.05313,2.6999,0.0008878,0.0008878,0.0008878
19,254.836,2.35865,2.12187,2.02953,0.54379,0.71741,0.58355,0.30283,2.26287,1.9047,2.42424,0.0008812,0.0008812,0.0008812
