epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0814,1.69162,3.41451,1.80354,0.00459,0.92643,0.24538,0.10941,1.36059,3.184,1.50627,0.00031438,0.00031438,0.00031438
2,23.2609,1.44619,2.85301,1.66098,0.00436,0.86898,0.29275,0.15282,1.41044,3.04607,1.59127,0.000636684,0.000636684,0.000636684
3,33.5192,1.52407,2.48527,1.73084,0.62949,0.3173,0.45478,0.2225,1.50036,2.54721,1.7577,0.00095248,0.00095248,0.00095248
4,44.4159,1.53116,2.23035,1.72795,0.43877,0.29833,0.29153,0.13667,1.8693,2.81,2.09942,0.00126177,0.00126177,0.00126177
5,54.4662,1.49543,2.12128,1.69613,0.48751,0.36791,0.3609,0.18612,1.68521,2.73982,1.89545,0.00137241,0.00137241,0.00137241
6,63.8115,1.49355,2.00172,1.67804,0.56849,0.32953,0.37221,0.14631,2.03807,2.84714,2.35742,0.00135826,0.00135826,0.00135826
7,73.3473,1.53444,2.01531,1.73671,0.27822,0.36277,0.24526,0.10596,1.86595,3.19052,2.14577,0.00134412,0.00134412,0.00134412
8,83.6385,1.46366,1.82263,1.65651,0.38984,0.35807,0.27105,0.11449,2.11173,3.15326,2.54721,0.00132997,0.00132997,0.00132997
9,92.811,1.48755,1.80445,1.65751,0.66702,0.57385,0.65039,0.31819,1.68705,1.89563,1.80185,0.00131582,0.00131582,0.00131582
10,101.954,1.48277,1.71917,1.65137,0.65743,0.65713,0.67539,0.35775,1.65611,1.71662,1.79902,0.00130168,0.00130168,0.00130168
11,111.79,1.40017,1.66756,1.60537,0.70928,0.57532,0.64706,0.30605,1.69012,1.99166,1.80345,0.00128753,0.00128753,0.00128753
12,123.248,1.39615,1.54786,1.56136,0.51755,0.61922,0.58655,0.31489,1.68106,2.29664,1.84452,0.00127338,0.00127338,0.00127338
13,132.112,1.39833,1.51142,1.57847,0.83862,0.65782,0.788,0.44634,1.53395,1.48726,1.6107,0.00125923,0.00125923,0.00125923
14,141.061,1.41559,1.49873,1.56794,0.7034,0.59045,0.66934,0.36793,1.55512,1.71052,1.63788,0.00124509,0.00124509,0.00124509
15,151.147,1.36883,1.46932,1.536,0.68476,0.57541,0.62298,0.32189,1.66785,1.83666,1.75718,0.00123094,0.00123094,0.00123094
16,160.156,1.38246,1.4756,1.56258,0.71869,0.7009,0.75555,0.41432,1.6345,1.59106,1.72248,0.00121679,0.00121679,0.00121679
17,169.402,1.37278,1.4196,1.56004,0.62254,0.64001,0.65261,0.3709,1.51542,1.76413,1.7214,0.00120265,0.00120265,0.00120265
18,178.529,1.31559,1.30823,1.52105,0.68887,0.72085,0.71245,0.42686,1.47127,1.61729,1.5967,0.0011885,0.0011885,0.0011885
19,187.954,1.31389,1.26444,1.4854,0.67256,0.67174,0.68046,0.35552,1.66997,1.55843,1.7823,0.00117435,0.00117435,0.00117435
20,198.68,1.33738,1.28971,1.52626,0.78544,0.63013,0.71984,0.41837,1.55629,1.34481,1.59686,0.00116021,0.00116021,0.00116021
21,209.286,1.33909,1.25007,1.54833,0.83878,0.74765,0.83958,0.53669,1.29992,1.13491,1.4561,0.00114606,0.00114606,0.00114606
22,218.054,1.27193,1.25243,1.5024,0.85643,0.68299,0.80595,0.519,1.28373,1.24916,1.4406,0.00113191,0.00113191,0.00113191
23,228.769,1.32496,1.24408,1.49222,0.87373,0.73492,0.84652,0.51518,1.37017,1.16412,1.49076,0.00111776,0.00111776,0.00111776
24,237.512,1.27193,1.18737,1.47318,0.82707,0.64699,0.75037,0.45997,1.48946,1.44152,1.66533,0.00110362,0.00110362,0.00110362
25,246.503,1.23394,1.1046,1.45865,0.8691,0.72859,0.80945,0.48855,1.47997,1.28311,1.60033,0.00108947,0.00108947,0.00108947
26,255.892,1.25054,1.10335,1.44699,0.80743,0.56707,0.69615,0.4115,1.48271,1.78886,1.58861,0.00107532,0.00107532,0.00107532
27,266.376,1.25758,1.15865,1.45804,0.92759,0.72955,0.87242,0.53551,1.39801,1.15325,1.50882,0.00106118,0.00106118,0.00106118
28,276.655,1.24742,1.10719,1.47547,0.73989,0.62451,0.69024,0.37739,1.6121,1.47966,1.72204,0.00104703,0.00104703,0.00104703
29,285.344,1.19195,1.04393,1.39428,0.79377,0.72617,0.81611,0.52166,1.31635,1.20295,1.43463,0.00103288,0.00103288,0.00103288
30,295.763,1.19994,1.113,1.43453,0.87094,0.76344,0.84615,0.56483,1.19666,0.99394,1.37666,0.00101873,0.00101873,0.00101873
31,305.705,1.18477,1.05791,1.42813,0.78136,0.75471,0.83959,0.47762,1.5235,1.09861,1.57275,0.00100459,0.00100459,0.00100459
32,316.426,1.16033,1.00001,1.40349,0.82724,0.69249,0.82055,0.5355,1.27091,1.09824,1.41341,0.00099044,0.00099044,0.00099044
33,325.982,1.22661,1.04636,1.43238,0.88391,0.65683,0.79166,0.50711,1.31942,1.12877,1.46404,0.000976293,0.000976293,0.000976293
34,336.05,1.1814,1.06794,1.41467,0.93956,0.80512,0.86466,0.56826,1.2153,0.89256,1.37608,0.000962146,0.000962146,0.000962146
35,345.284,1.20782,1.07778,1.4484,0.90398,0.78893,0.8733,0.56316,1.28234,0.92121,1.46012,0.000947999,0.000947999,0.000947999
36,355.911,1.16578,0.97024,1.41193,0.84222,0.80053,0.86559,0.55717,1.34213,1.03338,1.44649,0.000933851,0.000933851,0.000933851
37,364.962,1.10539,0.89988,1.36371,0.85522,0.73096,0.84472,0.55376,1.2692,1.12499,1.42368,0.000919704,0.000919704,0.000919704
38,374.712,1.14537,0.9616,1.38067,0.85983,0.79377,0.86559,0.58278,1.199,0.98986,1.36375,0.000905557,0.000905557,0.000905557
39,385.469,1.11455,0.95658,1.35237,0.88574,0.78084,0.87257,0.54089,1.31426,1.00256,1.4246,0.00089141,0.00089141,0.00089141
40,394.906,1.07583,0.90564,1.32518,0.87346,0.75828,0.85508,0.57014,1.24084,0.98359,1.41418,0.000877263,0.000877263,0.000877263
41,404.721,1.11587,0.89621,1.3722,0.89771,0.76569,0.85964,0.58239,1.23233,0.91622,1.38502,0.000863116,0.000863116,0.000863116
