epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.914,2.00594,4.01444,2.47004,0.00209,0.51426,0.00388,0.0012,2.8414,4.11455,3.82908,0.0809333,0.000192593,0.000192593
2,41.4915,1.6821,3.07464,2.22362,0.00357,0.86852,0.14405,0.07027,2.24434,3.47876,2.72118,0.0611307,0.000390001,0.000390001
3,60.0258,1.7356,2.74921,2.2132,0.59034,0.11529,0.22929,0.07734,1.84726,2.99629,2.431,0.0413255,0.00058477,0.00058477
4,77.6713,1.73914,2.62955,2.06525,0.38665,0.23738,0.28527,0.11461,1.84373,2.80317,2.60937,0.0215176,0.000776899,0.000776899
5,96.0082,1.81693,2.59182,2.23888,0.35519,0.21895,0.28453,0.06498,1.98986,2.99662,2.75578,0.00170713,0.000966388,0.000966388
6,114.592,1.72272,2.45321,2.16789,0.18617,0.33753,0.13527,0.04279,2.19035,3.62411,3.0543,0.000967,0.000967,0.000967
7,132.644,1.7632,2.36744,2.20737,0.39077,0.58804,0.45206,0.18241,1.79889,2.90449,2.51154,0.0009604,0.0009604,0.0009604
8,150.209,1.65864,2.29936,2.02533,0.52174,0.38595,0.46068,0.2338,1.65069,2.20499,2.29899,0.0009538,0.0009538,0.0009538
9,166.213,1.65675,2.13015,2.05538,0.6008,0.62641,0.6085,0.33827,1.57317,1.76207,2.15895,0.0009472,0.0009472,0.0009472
10,183.848,1.62782,2.0744,2.08388,0.58109,0.61784,0.63806,0.34697,1.61774,2.29036,2.18166,0.0009406,0.0009406,0.0009406
11,200.034,1.63528,2.04407,2.05943,0.8007,0.66837,0.73274,0.37082,1.69204,2.0305,2.25434,0.000934,0.000934,0.000934
12,217.485,1.67301,2.01264,2.09879,0.6531,0.65337,0.63955,0.21545,2.10428,2.00729,2.87897,0.0009274,0.0009274,0.0009274
13,234.662,1.65836,1.99524,2.08528,0.61776,0.6948,0.67866,0.34449,1.58267,1.92717,2.21098,0.0009208,0.0009208,0.0009208
14,252.404,1.64037,1.93772,2.00347,0.58281,0.79914,0.69877,0.33398,1.6931,1.53642,2.26598,0.0009142,0.0009142,0.0009142
15,269.425,1.61019,1.84924,2.02613,0.6888,0.72613,0.73976,0.36285,1.66387,1.59534,2.19821,0.0009076,0.0009076,0.0009076
16,286.639,1.61297,1.8744,1.98042,0.61381,0.73852,0.69894,0.34395,1.74053,1.52361,2.26184,0.000901,0.000901,0.000901
17,303.758,1.60254,1.78387,1.96803,0.73644,0.65999,0.72912,0.39218,1.72475,1.33398,2.23977,0.0008944,0.0008944,0.0008944
18,321.441,1.64476,1.85379,2.01436,0.72925,0.77214,0.77465,0.41401,1.61935,1.43535,2.13961,0.0008878,0.0008878,0.0008878
19,338.429,1.52566,1.6475,1.93765,0.70288,0.80451,0.7563,0.3571,1.76084,1.58748,2.27224,0.0008812,0.0008812,0.0008812
20,355.166,1.51934,1.64392,1.92189,0.74964,0.80129,0.79472,0.44638,1.41231,1.3777,1.91285,0.0008746,0.0008746,0.0008746
21,373.215,1.52218,1.67377,1.97833,0.71005,0.75931,0.71941,0.39543,1.48509,1.42085,2.01098,0.000868,0.000868,0.000868
22,391.156,1.61373,1.74969,2.01879,0.71467,0.69118,0.76431,0.36983,1.73782,1.38784,2.28036,0.0008614,0.0008614,0.0008614
23,407.335,1.52074,1.60569,1.93426,0.80178,0.74993,0.80721,0.44607,1.59571,1.33622,2.06313,0.0008548,0.0008548,0.0008548
24,426.276,1.54527,1.81569,1.96927,0.82589,0.74464,0.8427,0.48087,1.49808,1.30712,1.96627,0.0008482,0.0008482,0.0008482
25,444.183,1.58231,1.73643,1.98131,0.80918,0.82156,0.85672,0.4237,1.61238,1.26278,2.14565,0.0008416,0.0008416,0.0008416
26,461.5,1.58276,1.718,2.01487,0.75861,0.82959,0.85621,0.41393,1.67437,1.38774,2.1612,0.000835,0.000835,0.000835
27,479.955,1.52862,1.58615,1.92391,0.69545,0.79613,0.8092,0.47376,1.37237,1.28947,1.90711,0.0008284,0.0008284,0.0008284
