epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.39259,1.30345,4.48223,3.40736,1.57149,0.00392,0.94048,0.13976,0.0658,0.00375,0.88095,0.11822,0.05284,1.08697,3.62398,3.14136,1.65569,0.00018577,0.00018577,0.00018577
2,13.7293,0.94352,2.71879,2.97597,1.31455,0.00481,0.9881,0.38482,0.25161,0.0045,0.88095,0.30601,0.12995,1.01162,5.503,3.07944,1.54174,0.000383284,0.000383284,0.000383284
3,18.8104,1.03882,2.59338,2.46228,1.36019,0.76521,0.13793,0.33398,0.15072,0.77342,0.14943,0.31764,0.12296,1.42417,4.95664,3.01217,2.08379,0.000578156,0.000578156,0.000578156
4,23.8113,1.04564,2.44725,2.10395,1.34006,0.92503,0.09195,0.3809,0.16766,0.96609,0.10345,0.28043,0.08875,1.43141,10.8044,2.90771,2.11397,0.000770388,0.000770388,0.000770388
5,28.7492,1.08809,2.36815,1.9723,1.37076,0.53419,0.26698,0.49672,0.27426,0.42827,0.24318,0.39389,0.17693,1.16342,5.23405,2.6064,1.79379,0.000959979,0.000959979,0.000959979
6,33.7581,1.0627,2.46255,1.80516,1.33307,0.38482,0.37608,0.47458,0.26192,0.37642,0.33044,0.43623,0.19476,1.39098,5.97077,2.77459,2.27143,0.00114693,0.00114693,0.00114693
7,38.6096,1.17643,2.3955,1.83109,1.42482,0.43868,0.28742,0.20521,0.11839,0.14908,0.20088,0.14446,0.04388,1.64429,8.06214,3.12937,2.43437,0.00133124,0.00133124,0.00133124
8,43.4408,1.00566,2.22203,1.61958,1.28591,0.5587,0.31568,0.29928,0.1702,0.62121,0.22085,0.26075,0.13139,1.47731,5.70013,2.98899,2.5224,0.00136298,0.00136298,0.00136298
9,48.2081,1.13217,2.34993,1.79924,1.46483,0.28226,0.31544,0.27397,0.10668,0.26725,0.27323,0.19596,0.05935,1.76648,8.12201,3.05403,2.93759,0.00135355,0.00135355,0.00135355
10,53.1043,1.10829,2.31978,1.60083,1.38549,0.33781,0.30205,0.28767,0.16004,0.36755,0.28677,0.30551,0.12913,1.60361,5.39619,2.66917,2.37481,0.00134412,0.00134412,0.00134412
11,57.9229,0.99422,2.21156,1.47973,1.27509,0.6799,0.36905,0.39241,0.21943,0.67004,0.33333,0.35824,0.13907,1.40032,4.26861,2.60584,2.03475,0.00133469,0.00133469,0.00133469
12,62.7689,1.00023,2.20138,1.37867,1.25239,0.43069,0.40025,0.32291,0.1862,0.426,0.37644,0.31259,0.15945,1.72923,4.18002,3.60611,2.37817,0.00132525,0.00132525,0.00132525
13,67.6181,1.07001,2.26805,1.53105,1.32543,0.35297,0.3986,0.32169,0.16618,0.29732,0.38985,0.2818,0.13445,1.76642,3.71805,4.10706,2.49345,0.00131582,0.00131582,0.00131582
14,72.4803,1.00409,2.22772,1.34269,1.34077,0.74682,0.37438,0.42989,0.27552,0.74682,0.37438,0.43661,0.22767,1.11194,3.25486,3.42605,1.62838,0.00130639,0.00130639,0.00130639
15,77.3118,0.97733,1.92341,1.22388,1.2701,0.73179,0.61674,0.69093,0.41569,0.72431,0.60661,0.6831,0.32795,1.19215,3.32096,1.9321,1.75749,0.00129696,0.00129696,0.00129696
16,82.1492,0.9589,2.06474,1.27831,1.27024,0.61684,0.68144,0.68026,0.41863,0.59931,0.6562,0.64016,0.332,1.35098,4.43862,1.62951,1.89394,0.00128753,0.00128753,0.00128753
17,86.9211,0.96726,2.16374,1.19029,1.25965,0.66285,0.72433,0.73237,0.49807,0.66388,0.71798,0.71364,0.39359,1.10984,3.76697,1.36963,1.58281,0.0012781,0.0012781,0.0012781
18,91.7396,0.98071,2.15455,1.18977,1.29184,0.65216,0.53695,0.53695,0.336,0.65216,0.53695,0.52881,0.25508,1.21342,3.80906,2.15353,1.78786,0.00126867,0.00126867,0.00126867
19,96.5396,0.90641,2.04601,1.11328,1.21782,0.66506,0.74151,0.80343,0.55603,0.66506,0.74151,0.78191,0.48952,1.03342,2.3203,1.45221,1.49438,0.00125923,0.00125923,0.00125923
20,101.41,0.93282,2.01059,1.08192,1.18396,0.65438,0.57762,0.67067,0.44829,0.6117,0.55625,0.64042,0.31586,1.17454,4.63117,1.75435,1.66543,0.0012498,0.0012498,0.0012498
21,106.344,1.03171,2.22808,1.15837,1.27735,0.77413,0.65599,0.70044,0.49719,0.75026,0.64409,0.67443,0.40569,1.13143,3.61354,1.5361,1.58949,0.00124037,0.00124037,0.00124037
22,111.178,0.91669,2.03102,1.0928,1.24449,0.7459,0.66913,0.75391,0.49833,0.73493,0.65722,0.73844,0.43128,1.21697,2.51586,1.3965,1.61651,0.00123094,0.00123094,0.00123094
23,116.023,0.8699,1.86239,0.9955,1.20024,0.91554,0.83786,0.91308,0.61358,0.87246,0.80221,0.82966,0.50591,1.13538,2.85494,1.01042,1.61549,0.00122151,0.00122151,0.00122151
24,120.929,0.91875,1.87522,1.04051,1.19354,0.80112,0.72879,0.80599,0.52412,0.77972,0.71772,0.77347,0.44733,1.12907,2.7235,1.28559,1.62008,0.00121208,0.00121208,0.00121208
25,125.852,0.92901,1.90755,1.08188,1.24073,0.79127,0.72783,0.81408,0.56267,0.80072,0.72783,0.80104,0.46785,1.0692,2.7561,1.33891,1.62753,0.00120265,0.00120265,0.00120265
26,130.637,0.99394,1.78743,1.07645,1.2822,0.91949,0.79287,0.89756,0.64036,0.90543,0.78136,0.8928,0.55895,1.02573,2.09804,1.12665,1.47636,0.00119322,0.00119322,0.00119322
27,135.473,0.91801,1.87679,1.00277,1.19265,0.78581,0.7147,0.88945,0.62902,0.78581,0.7147,0.87662,0.5479,1.04021,2.16377,1.24523,1.48142,0.00118378,0.00118378,0.00118378
28,140.249,0.89326,1.88313,0.93019,1.20824,0.86715,0.6445,0.84036,0.62244,0.86715,0.6445,0.83119,0.55373,1.00047,2.416,1.29093,1.54745,0.00117435,0.00117435,0.00117435
29,145.122,0.88778,1.96529,0.97017,1.17878,0.90736,0.73434,0.90116,0.65104,0.90736,0.73434,0.86958,0.50438,0.9903,2.71392,1.0499,1.42678,0.00116492,0.00116492,0.00116492
30,149.933,0.83718,1.75404,0.8583,1.21779,0.85295,0.73735,0.84001,0.59314,0.83365,0.72619,0.81234,0.47959,1.02176,2.4645,1.31002,1.53188,0.00115549,0.00115549,0.00115549
31,154.745,0.87162,1.91123,0.93189,1.24021,0.81368,0.7789,0.87779,0.6277,0.78175,0.75526,0.8505,0.51316,1.11511,2.47078,1.04138,1.58951,0.00114606,0.00114606,0.00114606
32,159.527,0.89491,1.7232,1.00113,1.21387,0.88772,0.80228,0.91047,0.6792,0.88382,0.79862,0.89216,0.60089,0.92796,2.03278,0.86487,1.38469,0.00113663,0.00113663,0.00113663
33,164.343,0.94366,1.95735,0.93645,1.21257,0.83697,0.74204,0.80755,0.5806,0.82884,0.73196,0.7765,0.49332,0.99353,2.30295,1.06044,1.44858,0.0011272,0.0011272,0.0011272
34,169.134,0.83023,1.95169,0.91466,1.1673,0.94449,0.84845,0.93851,0.67592,0.92914,0.78322,0.8737,0.53069,0.99804,3.03626,0.74106,1.51524,0.00111776,0.00111776,0.00111776
35,174.003,0.7718,1.74034,0.84806,1.16916,0.88507,0.79638,0.89134,0.66446,0.85976,0.78474,0.83609,0.51431,0.93936,2.99834,0.88062,1.43194,0.00110833,0.00110833,0.00110833
36,178.858,0.78344,1.74756,0.82395,1.13551,0.83016,0.68662,0.79135,0.57278,0.81441,0.66474,0.75526,0.46795,0.99131,3.57085,1.48674,1.4739,0.0010989,0.0010989,0.0010989
37,183.676,0.74881,1.66954,0.74531,1.13224,0.74067,0.82382,0.91844,0.68277,0.74067,0.82382,0.894,0.58441,0.9162,2.58652,0.97299,1.44371,0.00108947,0.00108947,0.00108947
38,188.532,0.80894,1.80467,0.82293,1.15899,0.73934,0.70915,0.82424,0.62231,0.73934,0.70915,0.82338,0.52396,0.93456,2.31129,1.22736,1.38263,0.00108004,0.00108004,0.00108004
39,193.393,0.79822,1.91121,0.81226,1.17077,0.80299,0.77768,0.86726,0.66419,0.80299,0.77768,0.85524,0.58825,0.89573,2.04805,1.27847,1.3576,0.00107061,0.00107061,0.00107061
40,198.094,0.78985,1.75433,0.83257,1.12341,0.61245,0.61412,0.60834,0.44205,0.61541,0.62603,0.60723,0.39026,0.94455,2.09954,2.12323,1.38996,0.00106118,0.00106118,0.00106118
41,202.746,0.78757,1.55013,0.80782,1.15128,0.84806,0.73699,0.8539,0.64534,0.84806,0.73699,0.84878,0.5512,0.89186,1.88444,1.02396,1.31699,0.00105174,0.00105174,0.00105174
