epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.09851,1.48031,4.79303,13.9906,1.49148,0.6124,0.61248,0.61756,0.32556,0.48641,0.47805,0.45686,0.2016,1.93601,5.85235,7.90246,2.11041,0.00027151,0.00027151,0.00027151
2,16.121,1.45142,3.33431,7.0809,1.42506,0.6095,0.77587,0.80383,0.4704,0.5208,0.6393,0.56066,0.28329,1.86123,6.0342,8.32143,2.8719,0.000554551,0.000554551,0.000554551
3,23.1202,1.58586,3.26109,6.14268,1.50345,0.72447,0.70643,0.73756,0.42242,0.70013,0.68376,0.70507,0.39937,2.17927,8.41539,8.41391,3.51048,0.000834763,0.000834763,0.000834763
4,30.0497,1.56489,3.13211,4.92183,1.47144,0.52535,0.66467,0.57557,0.26897,0.56582,0.67277,0.56962,0.29223,2.44286,6.8072,14.6921,4.43378,0.00111215,0.00111215,0.00111215
5,36.8852,1.63693,3.12356,4.81044,1.50386,0.49624,0.69202,0.66403,0.38038,0.4865,0.6325,0.63465,0.30736,2.16195,10.015,16.7374,4.61292,0.0013867,0.0013867,0.0013867
6,43.6797,1.69326,3.10303,4.8518,1.54629,0.60458,0.5748,0.55562,0.26529,0.63676,0.58973,0.57076,0.31059,2.18394,11.3737,14.7694,4.05684,0.00139363,0.00139363,0.00139363
7,50.4002,1.59584,3.17067,4.73941,1.48187,0.80754,0.77042,0.83505,0.56831,0.78545,0.75463,0.81445,0.49894,1.64705,4.48357,5.1452,2.20201,0.00138656,0.00138656,0.00138656
8,57.2005,1.62998,3.19154,4.51801,1.46639,0.71172,0.72312,0.81915,0.51311,0.69969,0.65478,0.73418,0.3781,1.79588,6.09073,6.10293,2.39403,0.00137949,0.00137949,0.00137949
9,63.9511,1.45443,2.92661,3.81443,1.38712,0.84521,0.62274,0.83221,0.52571,0.8509,0.63596,0.835,0.4732,1.75781,5.36389,6.36149,2.03421,0.00137241,0.00137241,0.00137241
10,70.7724,1.52821,2.92411,3.71546,1.43614,0.71327,0.89303,0.90912,0.57502,0.6858,0.85755,0.85387,0.52596,1.55514,4.02641,5.19007,1.771,0.00136534,0.00136534,0.00136534
11,77.7139,1.51288,2.92372,3.94398,1.39943,0.79749,0.79273,0.85625,0.56824,0.77484,0.76892,0.81642,0.48969,1.56442,3.00732,5.65353,1.92366,0.00135826,0.00135826,0.00135826
12,84.5233,1.38532,2.77524,3.479,1.34376,0.80831,0.82143,0.90827,0.60057,0.79028,0.80952,0.85644,0.52134,1.4898,3.47179,5.76342,1.77891,0.00135119,0.00135119,0.00135119
13,91.5286,1.32963,2.67275,3.62832,1.31547,0.8636,0.89264,0.94739,0.67165,0.87033,0.85814,0.90471,0.60309,1.35227,3.76208,3.53396,1.58759,0.00134412,0.00134412,0.00134412
14,98.5771,1.3572,2.87365,3.53301,1.34244,0.77446,0.85341,0.94733,0.66541,0.77446,0.85341,0.94895,0.60183,1.42474,3.28293,3.64255,1.59345,0.00133704,0.00133704,0.00133704
15,105.591,1.3465,2.63233,3.24233,1.31646,0.83659,0.82271,0.91655,0.63481,0.83659,0.82271,0.90049,0.57258,1.3752,2.92901,3.63578,1.46044,0.00132997,0.00132997,0.00132997
16,112.637,1.35017,2.70144,3.11654,1.34167,0.89569,0.86685,0.93819,0.66966,0.89569,0.86685,0.93176,0.5824,1.2931,2.8789,2.92432,1.45411,0.0013229,0.0013229,0.0013229
17,119.759,1.39673,2.61374,3.25686,1.36186,0.92443,0.88701,0.93164,0.61286,0.91285,0.87096,0.91242,0.58159,1.48694,2.81214,3.23053,1.67374,0.00131582,0.00131582,0.00131582
18,126.901,1.31152,2.56712,3.22945,1.31164,0.82383,0.89467,0.9268,0.65588,0.80159,0.89105,0.92062,0.58132,1.29089,3.21028,3.68585,1.54493,0.00130875,0.00130875,0.00130875
19,133.96,1.30268,2.64707,3.13045,1.29314,0.95291,0.92574,0.97759,0.66294,0.90612,0.86025,0.90374,0.57437,1.54621,2.85484,2.85562,1.74604,0.00130168,0.00130168,0.00130168
20,141.027,1.30371,2.58344,3.12649,1.29975,0.95147,0.92305,0.96002,0.67571,0.93931,0.91131,0.9312,0.63158,1.39917,2.46935,2.7082,1.51057,0.0012946,0.0012946,0.0012946
21,148.137,1.20907,2.58075,2.99972,1.25967,0.86152,0.90366,0.9327,0.68085,0.83747,0.87936,0.89609,0.61165,1.33637,2.75301,3.33878,1.46015,0.00128753,0.00128753,0.00128753
22,155.233,1.18115,2.40165,2.94864,1.24468,0.88106,0.95279,0.94339,0.69638,0.85136,0.91708,0.90819,0.60048,1.24696,2.81308,2.90001,1.45843,0.00128046,0.00128046,0.00128046
23,162.257,1.15295,2.33858,2.85703,1.2203,0.92582,0.90517,0.95404,0.70572,0.90038,0.88136,0.91785,0.61268,1.27909,2.76748,3.14251,1.44444,0.00127338,0.00127338,0.00127338
24,169.273,1.2242,2.3995,2.99711,1.25069,0.95816,0.90672,0.96124,0.71709,0.93285,0.88095,0.91701,0.62783,1.23586,2.75733,2.7506,1.36007,0.00126631,0.00126631,0.00126631
25,176.352,1.2141,2.38021,2.74205,1.23481,0.97878,0.90963,0.96701,0.71839,0.97878,0.90963,0.95771,0.63917,1.19793,2.6248,2.26039,1.33179,0.00125923,0.00125923,0.00125923
26,183.368,1.15493,2.35277,2.65505,1.19483,0.92387,0.89816,0.95926,0.70422,0.90097,0.8723,0.91638,0.55714,1.26009,3.18925,2.47306,1.36325,0.00125216,0.00125216,0.00125216
27,190.372,1.22195,2.2869,2.7093,1.23268,0.929,0.89218,0.95702,0.70951,0.929,0.89218,0.95007,0.61873,1.23682,2.77704,2.45739,1.37581,0.00124509,0.00124509,0.00124509
28,197.401,1.14591,2.37859,2.7058,1.23928,0.94449,0.90476,0.95566,0.71557,0.9256,0.89286,0.92329,0.61488,1.2408,2.91257,2.40534,1.36186,0.00123801,0.00123801,0.00123801
29,204.482,1.13051,2.23759,2.59577,1.21398,0.93555,0.90669,0.95643,0.69389,0.93764,0.88087,0.92798,0.61303,1.31935,2.62772,2.83547,1.44932,0.00123094,0.00123094,0.00123094
30,211.484,1.17128,2.30953,2.72169,1.20192,0.96297,0.92857,0.97384,0.71683,0.9351,0.90476,0.92004,0.63419,1.31464,2.6292,2.39034,1.45115,0.00122387,0.00122387,0.00122387
31,218.537,1.08797,2.15839,2.54621,1.214,0.94121,0.87942,0.96766,0.73442,0.90858,0.85643,0.90664,0.63713,1.24419,2.96644,2.58947,1.43288,0.00121679,0.00121679,0.00121679
32,225.685,1.13946,2.19052,2.69755,1.24162,0.92447,0.91208,0.9511,0.71572,0.89896,0.88858,0.90436,0.6219,1.19868,3.00366,2.44458,1.39446,0.00120972,0.00120972,0.00120972
33,232.713,1.15886,2.21816,2.82442,1.22246,0.93893,0.91183,0.96251,0.74688,0.91221,0.88095,0.90501,0.64894,1.11938,2.90954,2.38392,1.3182,0.00120265,0.00120265,0.00120265
34,239.823,1.1166,2.17264,2.67443,1.20318,0.91119,0.94048,0.95941,0.74859,0.89663,0.92857,0.92779,0.63616,1.16102,2.83445,2.40738,1.35309,0.00119557,0.00119557,0.00119557
35,246.875,1.11154,2.12135,2.5261,1.19178,0.94792,0.9385,0.97149,0.75524,0.94019,0.9276,0.94235,0.64308,1.11271,2.6327,2.06715,1.29349,0.0011885,0.0011885,0.0011885
36,253.921,1.10504,2.23775,2.44108,1.20199,0.9701,0.93773,0.97422,0.76514,0.94805,0.91322,0.94203,0.65161,1.06262,2.40827,2.01384,1.30409,0.00118143,0.00118143,0.00118143
37,260.989,1.03102,2.12806,2.35165,1.1765,0.95631,0.95539,0.98404,0.75022,0.96763,0.91667,0.94887,0.64199,1.20805,2.55198,2.02864,1.36657,0.00117435,0.00117435,0.00117435
38,267.993,1.06536,2.04458,2.31067,1.16351,0.94561,0.92169,0.98259,0.7435,0.93013,0.91393,0.95867,0.62736,1.20286,2.65672,2.1099,1.3708,0.00116728,0.00116728,0.00116728
39,274.971,1.1029,2.19483,2.43906,1.18675,0.96597,0.91879,0.98011,0.75806,0.95273,0.90688,0.95462,0.6459,1.1745,2.92393,2.15073,1.36548,0.00116021,0.00116021,0.00116021
40,281.98,1.06522,1.99835,2.41646,1.16889,0.96577,0.94971,0.9771,0.75309,0.96895,0.93118,0.96497,0.64592,1.1837,2.50892,2.12334,1.37052,0.00115313,0.00115313,0.00115313
41,288.993,1.0669,1.96676,2.27544,1.14568,0.92639,0.9149,0.96313,0.75903,0.89933,0.89125,0.91821,0.6422,1.1004,2.55244,2.33249,1.27378,0.00114606,0.00114606,0.00114606
42,296.055,1.10718,2.19557,2.36409,1.18311,0.98785,0.92206,0.9789,0.76356,0.97577,0.91032,0.95239,0.68063,1.17489,2.51741,2.0418,1.32232,0.00113898,0.00113898,0.00113898
43,303.118,1.12409,2.09407,2.43433,1.20364,0.97469,0.94529,0.97376,0.72648,0.97469,0.94529,0.96431,0.66166,1.25087,2.63188,2.16165,1.36298,0.00113191,0.00113191,0.00113191
44,310.145,1.04173,1.99828,2.14498,1.15107,0.96044,0.96429,0.97712,0.7771,0.92307,0.92857,0.93686,0.66375,1.13995,2.73525,2.25979,1.2941,0.00112484,0.00112484,0.00112484
45,317.124,1.02771,2.08055,2.17791,1.15889,0.98386,0.92857,0.96506,0.7489,0.95645,0.90476,0.92761,0.66192,1.15448,2.56797,2.14574,1.30127,0.00111776,0.00111776,0.00111776
46,324.157,1.02737,2.01839,2.36362,1.15017,0.96936,0.92857,0.97307,0.74147,0.94325,0.90476,0.93009,0.67563,1.14817,2.4163,2.21529,1.36582,0.00111069,0.00111069,0.00111069
47,331.126,0.99743,2.01311,2.22664,1.11806,0.94924,0.95238,0.97667,0.79171,0.93157,0.90476,0.93906,0.66063,1.06658,2.55168,1.98346,1.27741,0.00110362,0.00110362,0.00110362
48,338.158,1.02692,2.09964,2.18862,1.14651,0.91596,0.94453,0.97967,0.78577,0.90419,0.93263,0.94242,0.65866,1.0675,2.74109,2.03748,1.25851,0.00109654,0.00109654,0.00109654
49,345.187,1.00995,1.9608,2.22777,1.15392,0.92928,0.95904,0.97957,0.78988,0.88819,0.93753,0.93869,0.66877,1.04057,2.94864,2.01939,1.2415,0.00108947,0.00108947,0.00108947
50,352.194,1.01498,2.00569,2.25782,1.15854,0.94748,0.91825,0.9646,0.7577,0.9076,0.88262,0.91757,0.65915,1.09607,2.62658,2.10432,1.29289,0.0010824,0.0010824,0.0010824
51,359.169,1.05377,1.99099,2.31536,1.1685,0.96732,0.90972,0.97264,0.79156,0.96732,0.90972,0.95531,0.67848,1.03103,2.45078,2.00506,1.2042,0.00107532,0.00107532,0.00107532
52,366.237,0.9794,1.95653,2.29825,1.11362,0.95862,0.94048,0.97713,0.76748,0.93557,0.88095,0.91513,0.60134,1.05818,3.16179,1.97889,1.25799,0.00106825,0.00106825,0.00106825
53,373.238,1.01397,2.04748,2.34662,1.14896,0.97634,0.93989,0.98418,0.77133,0.96599,0.914,0.94581,0.66102,1.10112,2.56345,2.1316,1.32243,0.00106118,0.00106118,0.00106118
54,380.248,1.00151,1.88734,2.20796,1.13696,0.97284,0.92413,0.97466,0.78578,0.94604,0.90032,0.93384,0.66612,1.05053,2.57006,1.87379,1.30021,0.0010541,0.0010541,0.0010541
55,387.249,0.96523,1.91832,2.08849,1.11214,0.96344,0.94048,0.97913,0.79229,0.94894,0.92857,0.95319,0.69003,0.99434,2.51386,1.80016,1.20269,0.00104703,0.00104703,0.00104703
56,394.329,0.96895,1.97848,2.13033,1.11528,0.93966,0.93203,0.97143,0.77242,0.91408,0.90848,0.9278,0.67017,1.00601,2.66743,1.92949,1.23732,0.00103995,0.00103995,0.00103995
57,401.388,0.94943,1.90592,2.14279,1.10544,0.98565,0.92511,0.98039,0.80056,0.97153,0.91331,0.94545,0.66142,0.99302,3.34904,1.81072,1.22752,0.00103288,0.00103288,0.00103288
58,408.379,0.93983,1.76722,2.00489,1.11174,0.96034,0.95159,0.97779,0.78234,0.96034,0.95159,0.96239,0.66045,1.07488,2.91311,1.95473,1.24147,0.00102581,0.00102581,0.00102581
59,415.405,0.98391,1.89798,2.22898,1.11846,0.963,0.9503,0.97585,0.78742,0.963,0.9503,0.96664,0.66151,1.07472,2.61528,2.05202,1.27696,0.00101873,0.00101873,0.00101873
60,422.387,0.98397,1.87486,2.16493,1.13784,0.94942,0.96533,0.98398,0.80799,0.96771,0.92857,0.95999,0.685,1.02807,2.75019,1.94596,1.2465,0.00101166,0.00101166,0.00101166
61,429.425,0.94357,1.86909,2.00174,1.11483,0.95485,0.92942,0.98266,0.79241,0.95485,0.92942,0.9689,0.66389,1.01667,2.36398,1.9636,1.21712,0.00100459,0.00100459,0.00100459
62,436.394,0.92346,1.864,2.01221,1.11785,0.96281,0.97349,0.98583,0.80742,0.95163,0.96159,0.95546,0.68132,0.97961,2.32443,1.71216,1.18289,0.000997513,0.000997513,0.000997513
63,443.403,0.92072,1.7771,1.91105,1.09758,0.96294,0.93358,0.9746,0.7969,0.93677,0.90993,0.9319,0.65713,0.99497,2.87489,1.83107,1.19159,0.00099044,0.00099044,0.00099044
64,450.446,0.94437,1.89271,2.09431,1.09646,0.97779,0.95393,0.98763,0.78757,0.96398,0.94202,0.94701,0.66265,1.03195,2.79566,1.87698,1.22626,0.000983366,0.000983366,0.000983366
65,457.474,0.91551,1.74172,1.93355,1.118,0.97271,0.96179,0.98712,0.79393,0.96131,0.94988,0.9607,0.71024,1.01388,2.43815,1.80704,1.20813,0.000976293,0.000976293,0.000976293
66,464.482,0.93974,1.83372,2.10348,1.10276,0.97991,0.94854,0.98674,0.7854,0.96795,0.93688,0.95108,0.68547,1.05973,2.53313,1.77564,1.23288,0.000969219,0.000969219,0.000969219
67,471.496,0.88816,1.69582,1.9659,1.08492,0.96684,0.92189,0.9824,0.77134,0.9405,0.89808,0.93735,0.66701,1.04757,2.76681,1.90688,1.26068,0.000962146,0.000962146,0.000962146
68,478.534,0.91529,1.87618,1.97258,1.10074,0.9573,0.96405,0.97539,0.78271,0.9573,0.96405,0.9666,0.68488,1.04767,2.40895,1.95917,1.25231,0.000955072,0.000955072,0.000955072
69,485.647,0.90072,1.84126,1.85421,1.07933,0.93499,0.9849,0.98437,0.79317,0.9312,0.92501,0.92589,0.69115,1.07761,2.73094,1.85247,1.26298,0.000947999,0.000947999,0.000947999
70,492.697,0.93925,1.83923,1.91486,1.09162,0.96798,0.96755,0.98426,0.78261,0.95656,0.93404,0.94191,0.68547,1.02797,2.55824,1.92467,1.21859,0.000940925,0.000940925,0.000940925
71,499.741,0.91883,1.902,2.11026,1.09266,0.93505,0.95779,0.9702,0.78382,0.91145,0.93499,0.93615,0.68327,1.0263,2.7105,1.82779,1.2315,0.000933851,0.000933851,0.000933851
72,506.704,0.92726,1.7271,1.91638,1.0964,0.97875,0.95696,0.97793,0.7939,0.95458,0.91715,0.92782,0.67587,1.01073,2.89063,1.65391,1.2175,0.000926778,0.000926778,0.000926778
73,513.705,0.8527,1.79776,1.79736,1.07174,0.97378,0.97263,0.98935,0.79949,0.97274,0.94504,0.95832,0.69121,0.96445,2.53151,1.61957,1.20325,0.000919704,0.000919704,0.000919704
74,520.702,0.85609,1.76497,1.78743,1.0466,0.98469,0.9407,0.97245,0.79033,0.95843,0.91706,0.94429,0.70384,0.99669,2.57684,1.88719,1.19686,0.000912631,0.000912631,0.000912631
75,527.737,0.91176,1.83673,1.97769,1.09979,0.93659,0.96352,0.96866,0.77538,0.9127,0.94016,0.9374,0.68522,1.0207,2.3129,1.89123,1.21836,0.000905557,0.000905557,0.000905557
76,534.766,0.87834,1.63619,1.85977,1.06255,0.94619,0.89767,0.96984,0.77931,0.86171,0.93256,0.93706,0.70395,1.02836,2.27389,2.10153,1.25534,0.000898484,0.000898484,0.000898484
77,541.802,0.84024,1.79466,1.84388,1.04624,0.97131,0.93984,0.96818,0.78011,0.94521,0.91634,0.92923,0.68879,1.06258,2.50154,2.05263,1.24297,0.00089141,0.00089141,0.00089141
78,548.847,0.88976,1.75975,1.94009,1.09797,0.98153,0.94048,0.96981,0.78645,0.96769,0.92857,0.95606,0.68961,0.98371,2.48433,1.86083,1.2107,0.000884337,0.000884337,0.000884337
79,555.878,0.82247,1.63022,1.83049,1.05012,0.9803,0.95441,0.97285,0.79535,0.97163,0.9194,0.9501,0.70647,0.96904,2.43491,1.72812,1.18906,0.000877263,0.000877263,0.000877263
80,562.913,0.85565,1.68511,1.80908,1.06961,0.95975,0.93973,0.96174,0.78916,0.94611,0.92804,0.9479,0.69293,1.02435,2.39421,1.84811,1.21746,0.00087019,0.00087019,0.00087019
81,569.96,0.81419,1.65648,1.75328,1.05424,0.98184,0.91667,0.96763,0.79638,0.95388,0.89286,0.94369,0.6912,1.02334,2.55826,1.81601,1.23967,0.000863116,0.000863116,0.000863116
82,576.924,0.79694,1.64634,1.75018,1.04866,0.96483,0.92728,0.97306,0.79949,0.95099,0.91537,0.95244,0.70977,1.00597,2.6168,1.82031,1.21629,0.000856042,0.000856042,0.000856042
83,583.968,0.84074,1.82871,1.83971,1.05798,0.97484,0.9401,0.98196,0.8019,0.9606,0.92844,0.96087,0.71659,1.01201,2.87873,1.77571,1.22302,0.000848969,0.000848969,0.000848969
84,591.049,0.87978,1.66261,1.9009,1.08838,0.98249,0.95812,0.97406,0.79401,0.96909,0.94627,0.95562,0.70578,0.99082,2.75826,1.67175,1.20347,0.000841895,0.000841895,0.000841895
85,598.058,0.80481,1.57329,1.68722,1.05507,0.93876,0.94048,0.97642,0.79053,0.92502,0.92857,0.94832,0.69921,1.01211,2.69565,1.74291,1.22498,0.000834822,0.000834822,0.000834822
86,605.093,0.83694,1.61984,1.76013,1.05423,0.98515,0.95652,0.98049,0.79436,0.95827,0.9328,0.9531,0.69109,1.00351,2.66817,1.76732,1.22204,0.000827748,0.000827748,0.000827748
87,612.079,0.85603,1.6364,1.84458,1.06418,0.95701,0.96082,0.96643,0.77937,0.94454,0.94903,0.94023,0.68594,1.00966,2.60518,1.71433,1.22187,0.000820675,0.000820675,0.000820675
88,619.121,0.81387,1.54104,1.61334,1.05347,0.9621,0.961,0.97693,0.8052,0.94957,0.94932,0.95203,0.69375,0.96785,2.50308,1.79791,1.1869,0.000813601,0.000813601,0.000813601
89,626.162,0.84603,1.57695,1.79425,1.04373,0.97717,0.94048,0.97024,0.80373,0.96293,0.92857,0.95825,0.68133,0.94865,2.89948,1.70814,1.17099,0.000806528,0.000806528,0.000806528
90,633.131,0.86526,1.74986,1.87956,1.05794,0.98277,0.93799,0.98165,0.80362,0.96937,0.91667,0.95307,0.68165,0.98149,3.64327,1.70424,1.20009,0.000799454,0.000799454,0.000799454
91,640.108,0.83069,1.59161,1.71587,1.04496,0.9706,0.95238,0.97211,0.79599,0.95767,0.94048,0.95293,0.68547,0.95803,2.63725,1.76693,1.18571,0.00079238,0.00079238,0.00079238
92,647.17,0.85869,1.68399,1.79343,1.0859,0.97837,0.92857,0.97604,0.79531,0.96396,0.91667,0.94854,0.68518,0.96462,2.4924,1.63576,1.17285,0.000785307,0.000785307,0.000785307
93,654.198,0.84429,1.59627,1.81883,1.06732,0.97369,0.94191,0.97116,0.79853,0.95922,0.93004,0.95321,0.67963,0.96575,2.79254,1.65572,1.1869,0.000778233,0.000778233,0.000778233
94,661.169,0.83589,1.55195,1.79584,1.06626,0.97378,0.94968,0.97348,0.80317,0.96018,0.93833,0.96088,0.686,0.95757,2.92247,1.6288,1.18591,0.00077116,0.00077116,0.00077116
95,668.226,0.82704,1.53506,1.7462,1.05404,0.98248,0.95238,0.97139,0.79282,0.94333,0.91667,0.93768,0.67518,0.96374,3.07564,1.6946,1.2003,0.000764086,0.000764086,0.000764086
96,675.231,0.80641,1.6008,1.70116,1.04436,0.96993,0.9469,0.9812,0.8031,0.94443,0.92322,0.93935,0.68754,1.03325,2.92951,1.72306,1.24415,0.000757013,0.000757013,0.000757013
97,682.231,0.81965,1.59012,1.70624,1.04953,0.98462,0.95238,0.97785,0.80124,0.95895,0.92857,0.93973,0.68729,0.98584,2.61665,1.66616,1.20306,0.000749939,0.000749939,0.000749939
98,689.215,0.78534,1.66076,1.67144,1.04879,0.98207,0.95064,0.9758,0.80113,0.96978,0.9388,0.95091,0.69674,0.96772,2.55139,1.63717,1.19677,0.000742866,0.000742866,0.000742866
99,696.215,0.78104,1.45262,1.67347,1.03765,0.96676,0.93566,0.98384,0.80809,0.93055,0.89416,0.94393,0.68691,0.95465,2.75586,1.82021,1.22031,0.000735792,0.000735792,0.000735792
100,704.2,0.76999,1.5364,1.63423,1.03017,0.97351,0.92818,0.98566,0.79773,0.94615,0.90484,0.94694,0.69786,1.01088,2.929,1.9051,1.24587,0.000728719,0.000728719,0.000728719
101,711.224,0.81852,1.491,1.74608,1.05,0.94378,0.95418,0.98545,0.78963,0.94378,0.95418,0.97698,0.7126,1.02952,2.6021,1.82872,1.2554,0.000721645,0.000721645,0.000721645
102,718.228,0.79356,1.56264,1.70489,1.04057,0.95304,0.95917,0.9851,0.79556,0.95304,0.95917,0.97542,0.72577,1.00284,2.51935,1.76472,1.25482,0.000714571,0.000714571,0.000714571
103,725.289,0.75733,1.57163,1.68689,1.0254,0.94886,0.95888,0.9828,0.80472,0.92499,0.97582,0.97181,0.71493,0.97556,2.61576,1.76123,1.20197,0.000707498,0.000707498,0.000707498
104,732.259,0.80671,1.54002,1.69953,1.04532,0.97891,0.96922,0.98678,0.81696,0.96663,0.95734,0.96743,0.70333,0.94291,2.43861,1.7347,1.1775,0.000700424,0.000700424,0.000700424
105,739.24,0.80951,1.55145,1.68667,1.04578,0.98283,0.97125,0.98762,0.7959,0.97075,0.95934,0.96519,0.69978,0.99023,2.57578,1.6597,1.18573,0.000693351,0.000693351,0.000693351
106,746.305,0.79985,1.57272,1.74384,1.02871,0.9842,0.97619,0.98509,0.81229,0.95938,0.95238,0.95075,0.68443,0.92751,2.58877,1.57118,1.16605,0.000686277,0.000686277,0.000686277
107,753.298,0.74672,1.45828,1.66113,1.02221,0.97355,0.96346,0.98459,0.81331,0.93541,0.92789,0.93725,0.70131,0.93357,2.88753,1.64257,1.16771,0.000679204,0.000679204,0.000679204
108,760.287,0.75313,1.46854,1.62747,1.02061,0.94512,0.96429,0.97832,0.8005,0.95119,0.90065,0.92786,0.69338,0.96345,2.82105,1.63836,1.21804,0.00067213,0.00067213,0.00067213
109,767.288,0.74769,1.46214,1.5935,1.03522,0.98065,0.95926,0.97408,0.81389,0.96725,0.94748,0.95512,0.71295,0.95465,2.60799,1.58285,1.16882,0.000665057,0.000665057,0.000665057
110,774.32,0.75159,1.45213,1.63032,1.02274,0.98333,0.95607,0.96958,0.81783,0.96996,0.94418,0.95336,0.71722,0.9185,2.49113,1.56852,1.16718,0.000657983,0.000657983,0.000657983
111,781.366,0.77765,1.49467,1.56746,1.03334,0.98044,0.96971,0.97465,0.81576,0.98511,0.96155,0.97393,0.7186,0.9169,2.63476,1.56924,1.15243,0.000650909,0.000650909,0.000650909
112,788.377,0.75484,1.43243,1.64433,1.03428,0.97426,0.9576,0.97926,0.80343,0.98066,0.94101,0.96489,0.69807,0.9587,2.69428,1.61024,1.22824,0.000643836,0.000643836,0.000643836
113,795.408,0.74257,1.56135,1.58892,1.0149,0.9741,0.92474,0.97865,0.80941,0.94622,0.90195,0.93149,0.70287,0.95525,2.72202,1.73539,1.21742,0.000636762,0.000636762,0.000636762
114,802.395,0.76985,1.51772,1.56969,1.02087,0.97236,0.91625,0.9717,0.80101,0.94542,0.89265,0.93405,0.68639,0.94556,2.8363,1.74965,1.23378,0.000629689,0.000629689,0.000629689
115,809.396,0.74469,1.47707,1.63443,1.02339,0.98167,0.9349,0.97055,0.81525,0.95546,0.91129,0.93526,0.69029,0.9671,2.77245,1.60692,1.22403,0.000622615,0.000622615,0.000622615
116,816.395,0.7347,1.43256,1.51925,1.00047,0.96601,0.96169,0.97972,0.80428,0.95418,0.94978,0.95415,0.6987,0.94901,2.67475,1.62825,1.21164,0.000615542,0.000615542,0.000615542
117,823.376,0.75634,1.50943,1.58027,1.03382,0.97849,0.96114,0.98285,0.8164,0.98153,0.94219,0.97198,0.714,0.97466,2.63854,1.6062,1.2036,0.000608468,0.000608468,0.000608468
118,830.397,0.75139,1.51846,1.51222,1.00685,0.98075,0.94076,0.9846,0.81518,0.96692,0.92886,0.95504,0.7076,0.95582,2.61637,1.57654,1.19327,0.000601395,0.000601395,0.000601395
119,837.435,0.73556,1.42099,1.53079,1.01765,0.95706,0.97394,0.97539,0.81196,0.93352,0.96269,0.96745,0.71571,0.93544,2.48912,1.70855,1.17927,0.000594321,0.000594321,0.000594321
120,844.44,0.73106,1.49392,1.57484,0.99888,0.97023,0.97313,0.97553,0.81701,0.95532,0.96132,0.96993,0.72138,0.91284,2.50683,1.60611,1.1595,0.000587248,0.000587248,0.000587248
