epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.5967,1.86327,4.50383,60.6161,2.32326,0.00531,0.13875,0.01635,0.00397,0.00369,0.09236,0.00793,0.00213,2.39913,5.52587,668.684,3.10714,0.000464425,0.000464425,0.000464425
2,64.9217,1.86783,3.72891,25.2405,2.34852,0.23551,0.20619,0.08021,0.01994,0.24539,0.16379,0.07772,0.01854,3.27885,5.71066,50.9085,6.13945,0.000936102,0.000936102,0.000936102
3,96.0442,1.9639,3.54095,20.5753,2.45635,0.06401,0.13357,0.02955,0.00828,0.06263,0.1289,0.03392,0.0085,3.04822,9.68039,113.23,5.4217,0.00140306,0.00140306,0.00140306
4,128.621,2.10238,4.37582,20.5384,2.58214,0.50919,0.28038,0.15768,0.04567,0.527,0.24425,0.15687,0.04915,2.18234,4.7939,36.6362,3.20529,0.00140778,0.00140778,0.00140778
5,160.658,2.07028,3.69762,19.8457,2.53014,0.48767,0.13759,0.13304,0.03861,0.13349,0.08169,0.04157,0.0085,3.08125,13.9621,44.6772,4.04174,0.00140071,0.00140071,0.00140071
6,192.284,2.00498,3.61195,18.7495,2.51361,0.25854,0.26888,0.1005,0.02465,0.40658,0.04639,0.0295,0.00649,2.91313,7.09856,29.6597,3.8131,0.00139363,0.00139363,0.00139363
7,224.117,2.02936,3.7551,18.9953,2.49054,0.33206,0.36662,0.26678,0.09302,0.34909,0.33744,0.22387,0.06307,2.39286,5.13764,18.621,3.16461,0.00138656,0.00138656,0.00138656
8,256.043,1.92467,3.59868,18.1701,2.39416,0.13941,0.19464,0.08942,0.02357,0.14973,0.24425,0.10277,0.02563,2.49575,5.11602,33.1054,3.15316,0.00137949,0.00137949,0.00137949
9,288.017,1.9122,3.45714,17.5367,2.38992,0.18213,0.16667,0.1107,0.03594,0.12444,0.23686,0.05971,0.01345,2.91618,4.34857,37.7347,3.60949,0.00137241,0.00137241,0.00137241
10,319.898,1.82139,3.33973,16.232,2.33761,0.45114,0.47742,0.44559,0.15702,0.45114,0.47742,0.43392,0.16961,2.1775,3.41443,20.9535,2.75,0.00136534,0.00136534,0.00136534
11,351.858,1.88195,3.41498,16.4274,2.38043,0.46101,0.5448,0.51918,0.19785,0.37155,0.47067,0.44231,0.15489,2.21624,3.61856,19.9569,2.80043,0.00135826,0.00135826,0.00135826
12,383.949,1.89922,3.49266,17.2645,2.32613,0.2738,0.29187,0.2587,0.09708,0.21382,0.28684,0.2195,0.08441,2.18259,4.93043,27.0429,2.68274,0.00135119,0.00135119,0.00135119
13,415.757,1.85755,3.54979,16.8327,2.32243,0.45316,0.44828,0.44665,0.15268,0.39076,0.46403,0.46384,0.16061,2.16332,3.45431,22.6733,2.74505,0.00134412,0.00134412,0.00134412
14,447.341,1.78981,3.44064,15.7892,2.29572,0.50506,0.32369,0.34013,0.1096,0.6003,0.20721,0.24688,0.05767,2.68192,4.72302,16.0517,3.31211,0.00133704,0.00133704,0.00133704
15,479.183,1.78984,3.27946,15.4163,2.26604,0.28107,0.41043,0.27464,0.08418,0.30884,0.41215,0.29209,0.09105,2.70278,3.67476,19.5168,3.29899,0.00132997,0.00132997,0.00132997
16,510.604,1.72694,3.2079,14.6306,2.23974,0.53288,0.57176,0.54041,0.20321,0.58602,0.58698,0.57605,0.21571,2.19791,3.11232,14.2143,2.76166,0.0013229,0.0013229,0.0013229
17,542.081,1.7416,3.21598,14.5332,2.24421,0.38923,0.46141,0.29471,0.1189,0.31495,0.38998,0.22239,0.08052,2.04823,3.24051,22.6283,2.48947,0.00131582,0.00131582,0.00131582
18,573.658,1.80366,3.33142,15.442,2.28721,0.67088,0.55775,0.63031,0.26967,0.70886,0.52997,0.64115,0.25582,1.87569,3.132,15.3459,2.47215,0.00130875,0.00130875,0.00130875
19,605.242,1.67863,3.20777,14.4111,2.17956,0.67711,0.57099,0.68311,0.26349,0.65378,0.54718,0.60888,0.23755,2.1053,3.2339,13.2713,2.58526,0.00130168,0.00130168,0.00130168
20,636.726,1.71497,3.20759,14.2584,2.18776,0.66826,0.578,0.63458,0.22446,0.69884,0.60181,0.65431,0.25092,2.10294,3.02144,13.4187,2.59232,0.0012946,0.0012946,0.0012946
21,668.186,1.67507,3.15234,13.6564,2.16552,0.70311,0.60755,0.69603,0.29898,0.70311,0.60755,0.66288,0.28038,1.99955,3.3729,12.19,2.55502,0.00128753,0.00128753,0.00128753
22,699.733,1.59978,3.16695,14.3106,2.13661,0.62474,0.75317,0.76705,0.34471,0.63215,0.72906,0.74192,0.32116,1.87285,2.99999,11.1058,2.41006,0.00128046,0.00128046,0.00128046
23,731.372,1.59995,3.07757,13.5263,2.1131,0.8195,0.58494,0.69206,0.29657,0.64984,0.59647,0.65928,0.31975,1.97255,2.8761,13.2462,2.40192,0.00127338,0.00127338,0.00127338
24,762.701,1.57924,3.12123,12.6535,2.07832,0.68398,0.75062,0.78762,0.3188,0.70791,0.74161,0.78557,0.3108,1.97369,3.11518,10.4748,2.40108,0.00126631,0.00126631,0.00126631
25,794.186,1.60877,3.06004,12.6167,2.10068,0.80401,0.65586,0.79935,0.35571,0.84118,0.67787,0.81491,0.36185,1.9868,2.87045,9.95511,2.44001,0.00125923,0.00125923,0.00125923
26,825.734,1.60126,3.07384,12.7592,2.09759,0.75486,0.65284,0.78874,0.34521,0.73149,0.62222,0.7159,0.34291,1.8227,2.86202,11.9177,2.22321,0.00125216,0.00125216,0.00125216
27,857.263,1.64231,3.04875,12.8597,2.10167,0.79697,0.6564,0.74023,0.3289,0.78331,0.67682,0.75435,0.31031,1.93528,3.02206,10.5503,2.45078,0.00124509,0.00124509,0.00124509
28,888.893,1.60228,3.06548,13.3636,2.10762,0.74431,0.59532,0.71262,0.32211,0.73896,0.60233,0.70796,0.3364,1.88726,2.78566,13.0754,2.35265,0.00123801,0.00123801,0.00123801
29,920.519,1.55624,3.09827,12.6149,2.05995,0.81933,0.69652,0.76677,0.33757,0.80634,0.68462,0.76193,0.31615,1.88853,3.23827,12.07,2.28417,0.00123094,0.00123094,0.00123094
30,952.109,1.56824,3.09719,12.5102,2.06442,0.62865,0.65722,0.6686,0.33496,0.63918,0.69109,0.69006,0.32765,1.95931,2.99156,12.3719,2.4158,0.00122387,0.00122387,0.00122387
31,983.611,1.48447,3.00174,12.0735,2.00884,0.7657,0.78777,0.83083,0.37151,0.7657,0.78777,0.81844,0.39937,1.88073,2.73612,9.8285,2.39242,0.00121679,0.00121679,0.00121679
32,1015.15,1.62241,3.03396,12.6814,2.11884,0.78519,0.68062,0.76465,0.35188,0.81764,0.66733,0.76655,0.35053,1.89401,2.75595,11.3695,2.38699,0.00120972,0.00120972,0.00120972
33,1046.61,1.53917,2.9996,11.8642,2.04458,0.73308,0.63414,0.75714,0.34288,0.72596,0.62223,0.72426,0.33556,1.86777,2.93367,11.4092,2.27638,0.00120265,0.00120265,0.00120265
34,1078.08,1.49274,2.90705,11.3222,1.96567,0.88234,0.77416,0.85568,0.40546,0.88622,0.77128,0.84061,0.39179,1.75635,2.82801,8.91979,2.18983,0.00119557,0.00119557,0.00119557
35,1109.56,1.50125,2.92415,11.563,2.03084,0.76271,0.72906,0.78369,0.35659,0.80997,0.69472,0.80755,0.38359,1.89025,2.81074,9.89827,2.33069,0.0011885,0.0011885,0.0011885
36,1141,1.41778,2.88819,10.7204,1.95567,0.73846,0.79885,0.81629,0.37506,0.73981,0.79844,0.80749,0.3493,1.8346,2.81799,9.97879,2.24737,0.00118143,0.00118143,0.00118143
37,1172.41,1.49298,2.93069,11.2658,2.06064,0.72472,0.78134,0.81398,0.34786,0.70127,0.77884,0.78725,0.34948,1.91674,2.74242,9.73526,2.42738,0.00117435,0.00117435,0.00117435
38,1203.85,1.5015,2.90181,11.5507,1.981,0.84034,0.703,0.84402,0.38377,0.83141,0.69098,0.8236,0.38912,1.8277,2.72851,9.77223,2.28084,0.00116728,0.00116728,0.00116728
39,1235.31,1.48911,2.87529,11.3808,2.00478,0.79148,0.76032,0.84155,0.37796,0.79052,0.72998,0.80095,0.36834,1.8176,2.77233,9.80362,2.24223,0.00116021,0.00116021,0.00116021
40,1266.67,1.4067,2.8215,10.4887,1.93166,0.73152,0.6486,0.74884,0.33357,0.74243,0.66051,0.75967,0.35929,1.85789,2.75192,11.0881,2.24974,0.00115313,0.00115313,0.00115313
41,1298.08,1.51155,2.98974,11.5335,2.03118,0.75703,0.77586,0.82209,0.41167,0.74108,0.75205,0.78447,0.36101,1.81246,2.83974,9.11884,2.26545,0.00114606,0.00114606,0.00114606
42,1329.58,1.45295,2.8637,11.1166,1.95339,0.8076,0.74379,0.82252,0.38224,0.7922,0.73272,0.76731,0.37342,1.8926,2.82917,9.74558,2.35771,0.00113898,0.00113898,0.00113898
43,1360.83,1.47478,2.79562,11.0613,1.97549,0.81075,0.82745,0.89426,0.44105,0.81075,0.82745,0.88303,0.43294,1.7664,2.54913,8.18283,2.17952,0.00113191,0.00113191,0.00113191
44,1392.35,1.38504,2.73219,10.6318,1.93815,0.83802,0.81555,0.87879,0.41857,0.87987,0.76403,0.8678,0.45226,1.82723,2.47826,8.43319,2.34785,0.00112484,0.00112484,0.00112484
45,1423.77,1.42028,2.77581,10.5567,1.94735,0.87902,0.64409,0.75787,0.35861,0.87902,0.64409,0.7494,0.35724,1.80078,2.94744,10.834,2.21768,0.00111776,0.00111776,0.00111776
