epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.5088,1.89756,3.25004,2.00955,0.00219,0.53887,0.00242,0.00066,2.99238,4.85711,11.2964,0.0748,0.0028,0.0028
2,84.7114,2.13775,2.89133,2.20626,0,0,0,0,nan,nan,nan,0.0486774,0.00567743,0.00567743
3,116.131,2.11456,2.75143,2.1683,0.00221,0.32753,0.00168,0.00057,nan,nan,nan,0.0225319,0.00853189,0.00853189
4,146.347,1.9919,2.58259,2.06975,0,0,0,0,nan,nan,nan,0.0098812,0.0098812,0.0098812
5,174.94,1.87672,2.4086,1.94954,0.00307,0.12068,0.00109,0.00059,3.69778,inf,93.4878,0.0098416,0.0098416,0.0098416
6,203.028,1.8948,2.39525,2.03547,0.01446,0.14493,0.01167,0.0053,3.00037,33.1948,5.29188,0.009802,0.009802,0.009802
7,232.412,1.85356,2.25596,1.9464,0.0104,0.32056,0.00485,0.00195,2.7108,inf,5.12622,0.0097624,0.0097624,0.0097624
8,262.141,1.73039,2.1492,1.86114,0.10489,0.35368,0.07171,0.02445,2.46073,14.205,2.91411,0.0097228,0.0097228,0.0097228
9,291.01,1.72766,2.08568,1.84244,0.18676,0.22241,0.06872,0.03285,2.40177,13.0799,3.14196,0.0096832,0.0096832,0.0096832
10,316.657,1.68443,1.99474,1.81231,0.27899,0.27898,0.14787,0.05417,2.2966,9.21087,2.96989,0.0096436,0.0096436,0.0096436
11,347.427,1.71524,2.00783,1.82348,0.11604,0.06586,0.01492,0.00547,2.76173,54.9057,3.00997,0.009604,0.009604,0.009604
12,374.886,1.69416,1.99265,1.81162,0.06485,0.22017,0.00794,0.00284,2.52742,65.9472,2.98922,0.0095644,0.0095644,0.0095644
13,404.615,1.65369,1.95964,1.78851,0.39491,0.40549,0.30668,0.14635,1.78392,2.72772,2.03721,0.0095248,0.0095248,0.0095248
