epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9685,1.62162,13.34,1.80203,0.00354,0.86357,0.3364,0.16535,1.38374,12.6295,1.6215,0.00031438,0.00031438,0.00031438
2,25.2547,1.48991,10.8019,1.7052,0.89651,0.07345,0.40872,0.21755,1.37539,11.6638,1.6596,0.000636684,0.000636684,0.000636684
3,36.1246,1.50103,9.11468,1.72005,0.7691,0.38924,0.50157,0.23427,1.64366,9.82657,1.8997,0.00095248,0.00095248,0.00095248
4,47.1986,1.47553,8.39626,1.66273,0.67136,0.3475,0.48696,0.26128,1.6393,8.99636,1.91832,0.00126177,0.00126177,0.00126177
5,58.6573,1.49583,8.08071,1.71545,0.65515,0.65723,0.64585,0.34452,1.65037,7.69243,2.065,0.00137241,0.00137241,0.00137241
6,68.9694,1.52941,7.84864,1.70246,0.53091,0.50623,0.49883,0.25198,1.76202,9.13425,1.90556,0.00135826,0.00135826,0.00135826
7,79.3171,1.48586,7.41018,1.66537,0.47665,0.37394,0.29736,0.14622,1.71639,11.3603,1.96381,0.00134412,0.00134412,0.00134412
8,90.7702,1.41802,6.69269,1.59385,0.51188,0.54578,0.49921,0.22722,1.79583,9.39607,2.1301,0.00132997,0.00132997,0.00132997
9,102.084,1.49563,6.69819,1.66136,0.76058,0.62386,0.72252,0.36928,1.71194,7.37411,1.88934,0.00131582,0.00131582,0.00131582
10,111.946,1.41153,6.39028,1.59858,0.74311,0.71275,0.74651,0.37143,1.74465,6.67848,1.93063,0.00130168,0.00130168,0.00130168
11,122.259,1.43094,6.27157,1.60583,0.73995,0.63973,0.70863,0.36502,1.65451,8.02313,1.87539,0.00128753,0.00128753,0.00128753
12,132.792,1.39697,6.08525,1.57814,0.78519,0.68937,0.76885,0.44702,1.54885,6.12702,1.69307,0.00127338,0.00127338,0.00127338
13,143.62,1.35564,5.75257,1.52234,0.85637,0.57061,0.70457,0.33992,1.87504,7.11687,1.96048,0.00125923,0.00125923,0.00125923
14,153.952,1.38109,5.63982,1.5564,0.85405,0.75924,0.87628,0.55656,1.40936,5.36296,1.55684,0.00124509,0.00124509,0.00124509
15,164.357,1.37665,5.24872,1.56338,0.85983,0.72194,0.81012,0.46026,1.53985,5.61779,1.70018,0.00123094,0.00123094,0.00123094
16,175.451,1.38546,5.40756,1.55837,0.86958,0.78266,0.87545,0.47207,1.66149,4.90653,1.75707,0.00121679,0.00121679,0.00121679
17,185.646,1.36458,5.2399,1.53531,0.76379,0.71226,0.77297,0.49892,1.34515,5.6287,1.59698,0.00120265,0.00120265,0.00120265
18,194.917,1.39594,5.15843,1.545,0.78062,0.79915,0.82768,0.47075,1.59552,4.92784,1.73876,0.0011885,0.0011885,0.0011885
19,204.683,1.39044,5.03156,1.55017,0.74624,0.61114,0.73888,0.3426,1.84775,6.27613,2.01449,0.00117435,0.00117435,0.00117435
20,214.128,1.35962,4.92789,1.54798,0.70326,0.74931,0.75091,0.44659,1.48351,5.82319,1.6725,0.00116021,0.00116021,0.00116021
21,223.894,1.31271,4.72589,1.48499,0.73869,0.70917,0.74644,0.43266,1.50456,6.53232,1.6725,0.00114606,0.00114606,0.00114606
22,233.93,1.30177,4.73381,1.51139,0.88685,0.75331,0.83997,0.48917,1.46787,4.76583,1.64243,0.00113191,0.00113191,0.00113191
23,243.881,1.28744,4.49742,1.46762,0.83474,0.79504,0.85103,0.48015,1.53454,4.71016,1.68321,0.00111776,0.00111776,0.00111776
24,252.807,1.29106,4.51268,1.47408,0.91882,0.86114,0.90324,0.49244,1.58143,3.89105,1.68317,0.00110362,0.00110362,0.00110362
25,262.094,1.24028,4.3166,1.43926,0.91533,0.82264,0.88123,0.54969,1.40422,3.43421,1.56448,0.00108947,0.00108947,0.00108947
