epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56972,1.21954,3.32715,1.47447,0.00401,0.95384,0.25686,0.16886,1.06008,3.06237,1.39506,0.00027151,0.00027151,0.00027151
2,17.6171,1.08962,2.72835,1.38273,0.00438,0.9771,0.46658,0.31611,1.08198,2.91685,1.45833,0.000551793,0.000551793,0.000551793
3,25.3576,1.15091,2.23849,1.43552,0.76448,0.29338,0.47389,0.31469,1.34544,2.61139,1.5799,0.000826416,0.000826416,0.000826416
4,33.1108,1.14203,1.97145,1.36657,0.57117,0.23775,0.46652,0.28759,1.14954,2.5721,1.50512,0.00109538,0.00109538,0.00109538
5,42.1284,1.15055,1.81557,1.39529,0.30924,0.35369,0.29737,0.17989,1.40511,2.74044,1.7973,0.00135869,0.00135869,0.00135869
6,49.8643,1.11848,1.68599,1.33454,0.30283,0.31142,0.1867,0.10887,1.49235,3.21833,1.9391,0.00135826,0.00135826,0.00135826
7,57.8249,1.1689,1.64922,1.36682,0.26652,0.47412,0.3229,0.19256,1.1655,2.90722,1.49155,0.00134412,0.00134412,0.00134412
8,65.6462,1.10324,1.64422,1.34236,0.41601,0.58657,0.30403,0.20771,1.17675,3.89426,1.55074,0.00132997,0.00132997,0.00132997
9,73.6259,1.06879,1.46773,1.29722,0.67612,0.7131,0.70884,0.44304,1.25615,2.19226,1.52151,0.00131582,0.00131582,0.00131582
10,80.6197,1.04014,1.33992,1.29503,0.61863,0.66303,0.68504,0.45194,1.26475,1.64273,1.56397,0.00130168,0.00130168,0.00130168
11,88.2481,1.08609,1.31877,1.33105,0.69264,0.58776,0.63503,0.42363,1.19148,1.84203,1.50126,0.00128753,0.00128753,0.00128753
12,95.6899,1.06157,1.28152,1.30423,0.44761,0.51936,0.39089,0.26345,1.08197,2.69343,1.38639,0.00127338,0.00127338,0.00127338
13,103.942,1.01683,1.24677,1.31353,0.84429,0.85358,0.88755,0.62628,1.08389,1.13261,1.37768,0.00125923,0.00125923,0.00125923
14,110.897,0.99965,1.15494,1.26071,0.68511,0.65606,0.66332,0.4706,1.04755,1.66491,1.35174,0.00124509,0.00124509,0.00124509
15,118.582,1.00251,1.1508,1.23819,0.74737,0.69212,0.79881,0.59339,1.0142,1.61201,1.3111,0.00123094,0.00123094,0.00123094
16,126.415,1.01549,1.14912,1.28465,0.88149,0.7632,0.86966,0.61961,1.06125,1.3044,1.32755,0.00121679,0.00121679,0.00121679
17,133.653,0.97688,1.05432,1.22864,0.67769,0.5493,0.63316,0.43527,1.03847,1.93703,1.31464,0.00120265,0.00120265,0.00120265
18,141.189,0.992,1.10579,1.24263,0.75004,0.63347,0.79572,0.5567,1.00116,1.73635,1.29236,0.0011885,0.0011885,0.0011885
19,149.873,0.98699,1.05731,1.25413,0.79368,0.72459,0.82043,0.59563,0.9565,1.2342,1.23354,0.00117435,0.00117435,0.00117435
20,157.794,0.9182,1.0077,1.19435,0.74472,0.77668,0.81011,0.57879,1.10792,1.29047,1.36431,0.00116021,0.00116021,0.00116021
21,164.577,0.99214,0.97142,1.24602,0.78686,0.89891,0.93918,0.7079,0.9232,0.84713,1.20931,0.00114606,0.00114606,0.00114606
22,172.468,0.95507,0.94468,1.21762,0.81447,0.79124,0.84344,0.63764,1.00247,1.00706,1.26551,0.00113191,0.00113191,0.00113191
23,180.531,0.91892,0.94381,1.19467,0.8956,0.94454,0.95542,0.71555,0.89898,0.7055,1.16959,0.00111776,0.00111776,0.00111776
24,188.721,0.92411,0.87822,1.20872,0.82014,0.91812,0.95881,0.74105,0.87682,0.76486,1.15957,0.00110362,0.00110362,0.00110362
25,196.206,0.91462,0.88486,1.2079,0.92924,0.85229,0.94159,0.6814,0.99303,0.84309,1.25594,0.00108947,0.00108947,0.00108947
26,203.771,0.87644,0.85373,1.19255,0.83973,0.94745,0.94685,0.7142,0.89665,0.72863,1.16473,0.00107532,0.00107532,0.00107532
27,211.284,0.89197,0.84377,1.17428,0.93944,0.83244,0.97517,0.76344,0.8458,0.67964,1.12863,0.00106118,0.00106118,0.00106118
28,218.874,0.86633,0.81357,1.15478,0.9357,0.96608,0.98612,0.75766,0.86481,0.61392,1.15873,0.00104703,0.00104703,0.00104703
29,226.104,0.91035,0.77991,1.18378,0.83046,0.94238,0.97725,0.74724,0.90532,0.77827,1.17803,0.00103288,0.00103288,0.00103288
30,234.169,0.84522,0.79439,1.16611,0.87503,0.8649,0.9507,0.74141,0.86567,0.74463,1.13996,0.00101873,0.00101873,0.00101873
31,241.447,0.84161,0.75822,1.14114,0.91164,0.97203,0.98454,0.73965,0.92966,0.61696,1.20576,0.00100459,0.00100459,0.00100459
32,250.365,0.84786,0.73658,1.16219,0.91124,0.97286,0.97232,0.7403,0.9131,0.705,1.15401,0.00099044,0.00099044,0.00099044
33,258.582,0.80779,0.72579,1.16342,0.80039,0.72471,0.90097,0.68291,0.86161,0.96824,1.12103,0.000976293,0.000976293,0.000976293
34,265.953,0.84663,0.7452,1.15248,0.93082,0.90591,0.97397,0.74117,0.89147,0.74795,1.16531,0.000962146,0.000962146,0.000962146
35,274.868,0.82363,0.74503,1.15653,0.92604,0.88527,0.94618,0.71072,0.93824,0.71771,1.20254,0.000947999,0.000947999,0.000947999
36,282.841,0.83757,0.74681,1.1356,0.90453,0.93683,0.97556,0.75104,0.92327,0.63481,1.1705,0.000933851,0.000933851,0.000933851
37,290.76,0.82863,0.69835,1.12083,0.92337,0.96927,0.9802,0.78099,0.83004,0.58882,1.10655,0.000919704,0.000919704,0.000919704
38,298.247,0.75656,0.66276,1.09572,0.89303,0.95676,0.97732,0.76191,0.8774,0.57206,1.1557,0.000905557,0.000905557,0.000905557
39,305.228,0.80918,0.66774,1.128,0.95867,0.90191,0.96,0.75794,0.81338,0.57784,1.10279,0.00089141,0.00089141,0.00089141
40,312.706,0.78589,0.68017,1.1279,0.91653,0.92586,0.95455,0.75568,0.85233,0.5769,1.15427,0.000877263,0.000877263,0.000877263
41,320.538,0.79867,0.64262,1.12032,0.91847,0.87164,0.92439,0.71814,0.8363,0.68244,1.14859,0.000863116,0.000863116,0.000863116
42,327.806,0.79495,0.67757,1.12429,0.94646,0.95196,0.98666,0.76527,0.82208,0.5256,1.13426,0.000848969,0.000848969,0.000848969
43,334.845,0.79423,0.65016,1.12718,0.94874,0.9631,0.98524,0.75065,0.87932,0.54898,1.13947,0.000834822,0.000834822,0.000834822
44,342.628,0.74501,0.63064,1.0998,0.88564,0.9513,0.97315,0.75532,0.87801,0.55168,1.15954,0.000820675,0.000820675,0.000820675
45,350.644,0.76455,0.65171,1.11565,0.92966,0.96195,0.98357,0.78198,0.81638,0.54647,1.11156,0.000806528,0.000806528,0.000806528
46,360.061,0.77446,0.62465,1.10091,0.97075,0.91875,0.98869,0.80606,0.77895,0.5442,1.10694,0.00079238,0.00079238,0.00079238
47,367.264,0.77188,0.63123,1.11056,0.89943,0.89882,0.9789,0.77702,0.78382,0.57164,1.08301,0.000778233,0.000778233,0.000778233
48,376.016,0.73897,0.57803,1.09446,0.94298,0.85281,0.96948,0.7678,0.83243,0.54513,1.13423,0.000764086,0.000764086,0.000764086
49,384.041,0.75495,0.61491,1.10441,0.93758,0.96166,0.97896,0.77004,0.81507,0.5109,1.15057,0.000749939,0.000749939,0.000749939
50,392.737,0.71328,0.57439,1.07263,0.95985,0.93745,0.98513,0.79448,0.7886,0.48849,1.08058,0.000735792,0.000735792,0.000735792
51,400.495,0.749,0.59182,1.08792,0.95033,0.96971,0.98515,0.78783,0.83651,0.49213,1.13204,0.000721645,0.000721645,0.000721645
52,407.701,0.74364,0.57707,1.08479,0.92999,0.94842,0.98289,0.76578,0.8519,0.54032,1.13071,0.000707498,0.000707498,0.000707498
53,415.332,0.69629,0.53806,1.07978,0.89559,0.92815,0.97212,0.76205,0.80618,0.53794,1.0933,0.000693351,0.000693351,0.000693351
54,423.146,0.71079,0.54461,1.07883,0.9353,0.91009,0.96477,0.76317,0.83082,0.52043,1.123,0.000679204,0.000679204,0.000679204
55,430.946,0.74933,0.58414,1.1098,0.92328,0.91649,0.94244,0.73544,0.86184,0.5485,1.15613,0.000665057,0.000665057,0.000665057
56,438.704,0.69616,0.55905,1.06725,0.92757,0.97696,0.98767,0.78953,0.81396,0.4759,1.10105,0.000650909,0.000650909,0.000650909
57,446.313,0.67099,0.53881,1.05443,0.92324,0.96354,0.98884,0.78879,0.80931,0.47994,1.09118,0.000636762,0.000636762,0.000636762
58,454.188,0.72582,0.54805,1.07956,0.96849,0.96837,0.98562,0.79736,0.75378,0.42736,1.06483,0.000622615,0.000622615,0.000622615
59,461.58,0.70662,0.55039,1.06857,0.94883,0.97967,0.98784,0.80962,0.70642,0.43906,1.03507,0.000608468,0.000608468,0.000608468
60,469.616,0.69441,0.54828,1.06863,0.92199,0.94979,0.98058,0.82164,0.72916,0.45414,1.04439,0.000594321,0.000594321,0.000594321
61,477.494,0.69217,0.50806,1.06566,0.99497,0.93444,0.99176,0.82159,0.71794,0.41961,1.03488,0.000580174,0.000580174,0.000580174
62,485.121,0.6321,0.47735,1.02939,0.94644,0.93361,0.96842,0.79966,0.72342,0.47078,1.05161,0.000566027,0.000566027,0.000566027
63,492.996,0.67897,0.52997,1.0621,0.96344,0.98058,0.99302,0.83084,0.72651,0.41042,1.08547,0.00055188,0.00055188,0.00055188
64,500.549,0.68879,0.5226,1.06123,0.96779,0.96743,0.98749,0.80201,0.74564,0.423,1.06953,0.000537733,0.000537733,0.000537733
65,508.109,0.66191,0.51326,1.04515,0.97174,0.93129,0.97602,0.80614,0.7456,0.4435,1.0727,0.000523586,0.000523586,0.000523586
66,515.624,0.67445,0.49147,1.04287,0.95148,0.93352,0.97982,0.81655,0.76826,0.46487,1.08019,0.000509438,0.000509438,0.000509438
67,522.867,0.65995,0.51783,1.05327,0.9542,0.98073,0.98598,0.80997,0.76704,0.43702,1.09514,0.000495291,0.000495291,0.000495291
68,530.228,0.6464,0.49648,1.03937,0.94894,0.95379,0.98216,0.80466,0.75972,0.45672,1.08384,0.000481144,0.000481144,0.000481144
69,538.36,0.64647,0.5005,1.03154,0.96042,0.94784,0.98312,0.80173,0.7625,0.44637,1.09297,0.000466997,0.000466997,0.000466997
70,545.712,0.63974,0.4871,1.03995,0.95594,0.98398,0.9902,0.81393,0.76539,0.41486,1.08071,0.00045285,0.00045285,0.00045285
71,552.736,0.64901,0.47758,1.04945,0.97053,0.95221,0.99231,0.79971,0.77613,0.43422,1.09726,0.000438703,0.000438703,0.000438703
72,560.105,0.60286,0.4759,1.02617,0.92396,0.9697,0.98853,0.81522,0.73176,0.4477,1.06607,0.000424556,0.000424556,0.000424556
73,567.513,0.64027,0.49854,1.03638,0.96294,0.95774,0.99211,0.82886,0.72083,0.41396,1.0786,0.000410409,0.000410409,0.000410409
74,575.454,0.61636,0.44681,1.03472,0.94319,0.94303,0.98199,0.82645,0.72444,0.43089,1.05305,0.000396262,0.000396262,0.000396262
75,582.781,0.63169,0.44566,1.04099,0.94858,0.95158,0.97919,0.81828,0.7077,0.43767,1.04099,0.000382115,0.000382115,0.000382115
76,590.509,0.59356,0.43993,0.9994,0.96164,0.93712,0.98506,0.81747,0.71364,0.41774,1.04878,0.000367967,0.000367967,0.000367967
77,598.214,0.59973,0.45899,1.0055,0.93421,0.97203,0.98068,0.80863,0.72514,0.4433,1.05807,0.00035382,0.00035382,0.00035382
78,605.786,0.57257,0.44626,0.99871,0.94801,0.95083,0.98486,0.81891,0.71555,0.41982,1.06084,0.000339673,0.000339673,0.000339673
