epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0423,2.25629,4.58981,2.56124,0.00194,0.49956,0.00348,0.0008,2.93625,3.82628,4.07438,0.081025,0.000191667,0.000191667
2,28.1871,1.9077,3.76736,2.27645,0.00309,0.66417,0.01865,0.00527,1.97593,4.0333,3.44025,0.0612224,0.000389082,0.000389082
3,42.501,1.8934,3.40677,2.31103,0.00377,0.94671,0.06483,0.02872,1.89714,3.84013,2.95383,0.0414172,0.000583857,0.000583857
4,58.254,1.8698,3.20224,2.19392,0.19894,0.10345,0.14652,0.0658,1.61972,3.59744,2.60265,0.0216093,0.000775992,0.000775992
5,73.4146,1.91225,2.95527,2.17305,0.12689,0.39462,0.14379,0.03662,2.40705,7.59795,3.99148,0.00179882,0.000965487,0.000965487
6,87.8123,1.94112,2.99839,2.19695,0.53847,0.20825,0.20765,0.06946,1.99957,9.02703,2.90975,0.000967,0.000967,0.000967
7,102.891,1.87515,2.94023,2.20328,0.54194,0.35565,0.28979,0.12586,1.61948,5.54087,2.43957,0.0009604,0.0009604,0.0009604
8,118.129,1.79676,2.72697,2.12318,0.46923,0.27984,0.19323,0.10577,1.71747,4.48581,2.53982,0.0009538,0.0009538,0.0009538
9,131.793,1.81902,2.73017,2.12211,0.27613,0.35899,0.30402,0.10702,1.82666,3.99465,2.65015,0.0009472,0.0009472,0.0009472
10,146.74,1.84204,2.6511,2.0949,0.34595,0.62196,0.3377,0.16253,1.68018,3.59381,2.48554,0.0009406,0.0009406,0.0009406
11,160.261,1.77018,2.5981,2.0902,0.47705,0.57132,0.46826,0.16743,1.94386,2.97724,2.6667,0.000934,0.000934,0.000934
12,176.328,1.82282,2.56654,2.1497,0.44638,0.41596,0.40378,0.18583,1.76213,2.49606,2.47973,0.0009274,0.0009274,0.0009274
13,191.007,1.87035,2.51495,2.10256,0.48686,0.51348,0.4733,0.23435,1.59944,2.70864,2.37871,0.0009208,0.0009208,0.0009208
14,205.717,1.78134,2.38533,2.025,0.42568,0.63233,0.47812,0.19547,1.8119,2.4228,2.53485,0.0009142,0.0009142,0.0009142
15,220.305,1.81541,2.41967,2.04698,0.51511,0.564,0.5857,0.29388,1.68706,1.98899,2.45635,0.0009076,0.0009076,0.0009076
16,235.638,1.78665,2.3457,2.07163,0.45607,0.70187,0.53897,0.19716,1.92329,2.16416,2.67043,0.000901,0.000901,0.000901
17,250.113,1.79601,2.3216,2.01556,0.36656,0.58294,0.50445,0.24447,1.65333,1.9111,2.4109,0.0008944,0.0008944,0.0008944
18,264.437,1.801,2.32787,2.05917,0.60538,0.47786,0.59367,0.29382,1.64796,1.88499,2.41677,0.0008878,0.0008878,0.0008878
19,279.695,1.75208,2.26641,2.05876,0.25176,0.43578,0.25778,0.11954,1.82535,2.86645,2.45829,0.0008812,0.0008812,0.0008812
20,294.196,1.72516,2.18326,2.01702,0.51812,0.57272,0.5652,0.30738,1.48771,2.04326,2.22228,0.0008746,0.0008746,0.0008746
21,307.872,1.73461,2.15296,1.92714,0.48063,0.42646,0.41423,0.20312,1.6211,2.3576,2.32695,0.000868,0.000868,0.000868
22,323.1,1.68794,2.07123,1.92825,0.41197,0.63014,0.41341,0.19745,1.73235,2.17435,2.48068,0.0008614,0.0008614,0.0008614
23,338.298,1.72361,2.05022,2.00289,0.61977,0.49136,0.53759,0.20622,2.07899,2.31699,2.81291,0.0008548,0.0008548,0.0008548
24,353.761,1.75324,1.98958,2.03557,0.46185,0.6781,0.56455,0.27731,1.69018,1.86492,2.51645,0.0008482,0.0008482,0.0008482
25,368.386,1.69684,1.96526,1.99936,0.77507,0.57043,0.67049,0.28848,1.96381,1.62978,2.72342,0.0008416,0.0008416,0.0008416
26,382.187,1.67772,1.97357,1.96538,0.72008,0.6681,0.69721,0.35745,1.61308,1.53924,2.34639,0.000835,0.000835,0.000835
27,396.433,1.63837,1.95827,1.88598,0.67812,0.71433,0.78118,0.35083,1.7836,1.70313,2.48621,0.0008284,0.0008284,0.0008284
28,412.131,1.73965,2.02361,1.98135,0.68606,0.67355,0.73751,0.37138,1.63389,1.59918,2.36585,0.0008218,0.0008218,0.0008218
29,426.834,1.70472,1.94511,1.97559,0.62104,0.68761,0.64825,0.3139,1.77059,1.74399,2.4229,0.0008152,0.0008152,0.0008152
30,440.711,1.68251,1.87294,1.9671,0.76797,0.71761,0.78209,0.43651,1.63644,1.445,2.34832,0.0008086,0.0008086,0.0008086
31,454.789,1.66704,1.93319,1.92435,0.65235,0.66922,0.63802,0.31418,1.80085,1.65576,2.42096,0.000802,0.000802,0.000802
32,469.036,1.61822,1.78812,1.89244,0.63987,0.68228,0.72886,0.35864,1.68849,1.48924,2.30937,0.0007954,0.0007954,0.0007954
33,483.043,1.64343,1.83368,1.92551,0.53381,0.66892,0.606,0.29834,1.69492,1.68541,2.36247,0.0007888,0.0007888,0.0007888
34,498.093,1.64543,1.76965,1.91824,0.63112,0.56849,0.61421,0.31503,1.6252,1.81955,2.2573,0.0007822,0.0007822,0.0007822
35,513.007,1.69083,1.85284,1.89467,0.73413,0.73958,0.77214,0.35851,1.77795,1.5397,2.43902,0.0007756,0.0007756,0.0007756
36,526.384,1.63531,1.81396,1.89205,0.60445,0.66874,0.68454,0.26079,2.09039,1.6807,2.76481,0.000769,0.000769,0.000769
37,541.954,1.62825,1.7206,1.88878,0.43563,0.518,0.40436,0.1419,2.03298,2.37531,2.69248,0.0007624,0.0007624,0.0007624
38,556.92,1.62418,1.81003,1.92572,0.68989,0.64655,0.7181,0.36732,1.64743,1.51737,2.30758,0.0007558,0.0007558,0.0007558
39,570.371,1.63373,1.70673,1.88792,0.82306,0.7956,0.83974,0.44331,1.67312,1.26259,2.31973,0.0007492,0.0007492,0.0007492
40,585.557,1.60491,1.70611,1.84836,0.64477,0.72996,0.67789,0.34165,1.66842,1.54574,2.33268,0.0007426,0.0007426,0.0007426
41,599.404,1.58955,1.66186,1.84497,0.83231,0.81774,0.81369,0.4311,1.64389,1.29191,2.32304,0.000736,0.000736,0.000736
42,612.748,1.54863,1.5825,1.85792,0.83587,0.77001,0.80544,0.42608,1.72289,1.21062,2.46642,0.0007294,0.0007294,0.0007294
43,627.018,1.57819,1.64092,1.83596,0.8127,0.74517,0.75625,0.41728,1.54099,1.34366,2.25286,0.0007228,0.0007228,0.0007228
44,641.704,1.62414,1.72276,1.91549,0.81323,0.8154,0.84009,0.4014,1.81374,1.2845,2.47993,0.0007162,0.0007162,0.0007162
45,656.488,1.63783,1.74716,1.90203,0.70307,0.80104,0.80592,0.45875,1.5657,1.28386,2.2362,0.0007096,0.0007096,0.0007096
46,671.586,1.62817,1.70846,1.91884,0.85267,0.814,0.8417,0.44111,1.62355,1.25465,2.24853,0.000703,0.000703,0.000703
47,685.805,1.67567,1.70028,1.90618,0.74607,0.70896,0.79447,0.36938,1.79803,1.42819,2.38472,0.0006964,0.0006964,0.0006964
48,700.305,1.57572,1.66645,1.8583,0.91451,0.8459,0.85996,0.48316,1.58204,1.14652,2.19108,0.0006898,0.0006898,0.0006898
49,715.033,1.55755,1.55792,1.82711,0.83152,0.78767,0.81866,0.45895,1.6121,1.21323,2.22363,0.0006832,0.0006832,0.0006832
50,729.119,1.56181,1.5247,1.83602,0.87124,0.8241,0.8344,0.46989,1.61647,1.13913,2.22213,0.0006766,0.0006766,0.0006766
