epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4181,1.40723,4.06256,1.7487,0.01194,0.92815,0.28101,0.18731,0.96538,3.19565,1.52467,0.00027151,0.00027151,0.00027151
2,22.9292,1.13216,3.28785,1.54042,0.00669,0.93864,0.20746,0.11173,1.02235,3.19435,1.60313,0.000552712,0.000552712,0.000552712
3,34.2967,1.28188,3.26363,1.73518,0.34628,0.39272,0.21894,0.07771,1.45164,3.20294,2.03338,0.000829199,0.000829199,0.000829199
4,44.366,1.27008,2.67894,1.58341,0.61758,0.23776,0.32828,0.18888,1.2742,2.98739,1.87618,0.00110097,0.00110097,0.00110097
5,54.4667,1.25486,2.67371,1.66476,0.3733,0.4221,0.40628,0.25885,1.50778,2.63275,2.12373,0.00136802,0.00136802,0.00136802
6,64.5249,1.31371,2.52353,1.63618,0.49202,0.47339,0.46943,0.24249,1.50683,2.93393,2.14232,0.00137005,0.00137005,0.00137005
7,74.2626,1.29554,2.51632,1.74097,0.67552,0.17493,0.2587,0.11839,1.76814,3.77498,2.51571,0.00135826,0.00135826,0.00135826
8,82.8562,1.28113,2.15948,1.57355,0.49048,0.36426,0.40727,0.22515,1.49055,2.46637,1.99011,0.00134648,0.00134648,0.00134648
9,92.813,1.30079,2.18218,1.59529,0.58417,0.60004,0.66534,0.42422,1.31776,2.00345,1.83473,0.00133469,0.00133469,0.00133469
10,102.701,1.22012,1.93409,1.51239,0.66471,0.43216,0.55014,0.31717,1.58379,2.46626,2.21529,0.0013229,0.0013229,0.0013229
11,111.957,1.24517,1.82937,1.53848,0.40939,0.53118,0.46687,0.27971,1.43831,2.60832,1.94363,0.00131111,0.00131111,0.00131111
12,121.836,1.19011,1.86016,1.54926,0.50768,0.44327,0.46566,0.25713,1.60652,2.33652,2.05599,0.00129932,0.00129932,0.00129932
13,130.199,1.13481,1.66253,1.51627,0.69654,0.57789,0.60993,0.38319,1.28611,1.92726,1.79304,0.00128753,0.00128753,0.00128753
14,140.33,1.18783,1.77004,1.51743,0.67605,0.64755,0.65733,0.46596,1.15996,1.89248,1.67774,0.00127574,0.00127574,0.00127574
15,149.739,1.19467,1.63304,1.5296,0.658,0.67946,0.71409,0.38547,1.41473,1.87703,1.9052,0.00126395,0.00126395,0.00126395
16,159.693,1.20148,1.67446,1.60401,0.66393,0.47509,0.55414,0.30325,1.57872,2.11325,2.1157,0.00125216,0.00125216,0.00125216
17,168.645,1.13526,1.50868,1.45899,0.82185,0.58769,0.72702,0.51661,1.15814,1.61641,1.60289,0.00124037,0.00124037,0.00124037
18,177.95,1.20987,1.68173,1.53267,0.44928,0.5951,0.58302,0.39547,1.42577,2.54392,1.96283,0.00122858,0.00122858,0.00122858
19,186.993,1.17278,1.49355,1.49869,0.56971,0.67995,0.68582,0.48201,1.18253,1.75914,1.70597,0.00121679,0.00121679,0.00121679
20,196.352,1.15736,1.44166,1.4888,0.81962,0.75121,0.82697,0.58995,1.15613,1.2196,1.59347,0.001205,0.001205,0.001205
21,206.476,1.14183,1.37523,1.5044,0.73578,0.7151,0.80081,0.57491,1.10933,1.20582,1.57744,0.00119322,0.00119322,0.00119322
22,217.291,1.07798,1.23439,1.37897,0.57277,0.62939,0.65175,0.43821,1.21373,1.84125,1.70097,0.00118143,0.00118143,0.00118143
23,225.423,1.06495,1.14494,1.33892,0.76806,0.74621,0.80321,0.5693,1.08641,1.27919,1.54571,0.00116964,0.00116964,0.00116964
24,235.556,1.08158,1.23592,1.43798,0.90066,0.8105,0.84621,0.60796,1.10755,0.96898,1.5663,0.00115785,0.00115785,0.00115785
25,244.634,1.0346,1.19436,1.39503,0.7564,0.64748,0.76834,0.52522,1.14032,1.32288,1.54348,0.00114606,0.00114606,0.00114606
26,254.249,1.04442,1.19132,1.41157,0.53659,0.6476,0.55063,0.40021,1.19413,1.73147,1.61491,0.00113427,0.00113427,0.00113427
27,263.831,1.04134,1.15529,1.37258,0.84347,0.83613,0.83651,0.61661,1.08541,0.94535,1.56062,0.00112248,0.00112248,0.00112248
28,272.58,1.03485,1.05732,1.36057,0.8555,0.84123,0.84314,0.63692,0.96158,0.84768,1.41654,0.00111069,0.00111069,0.00111069
29,282.01,0.94937,1.01038,1.37481,0.80021,0.76621,0.81292,0.58527,1.07074,1.09739,1.62003,0.0010989,0.0010989,0.0010989
30,291.839,1.00634,1.09382,1.41776,0.81449,0.84661,0.83346,0.57983,1.14542,1.00133,1.60276,0.00108711,0.00108711,0.00108711
31,301.044,1.04265,1.09394,1.36726,0.79005,0.82564,0.82498,0.58557,1.06355,1.02709,1.52815,0.00107532,0.00107532,0.00107532
