epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3895,1.43356,4.62887,1.84817,0.01289,0.95379,0.26877,0.12613,1.16657,3.40848,1.86711,0.00037154,0.00037154,0.00037154
2,30.5897,1.21333,3.7397,1.72818,0.00557,0.9845,0.31986,0.19527,1.43842,3.2678,2.21237,0.000751122,0.000751122,0.000751122
3,44.9163,1.26493,3.41227,1.76166,0.40611,0.20047,0.14747,0.04934,1.5326,4.27154,2.40125,0.00112434,0.00112434,0.00112434
4,58.0191,1.24316,3.24853,1.57438,0.2212,0.27622,0.28345,0.18266,1.22347,3.3765,2.08845,0.00139363,0.00139363,0.00139363
5,73.7196,1.32368,3.00327,1.75738,0.42836,0.30013,0.34471,0.18321,1.38099,3.27938,2.16477,0.00138184,0.00138184,0.00138184
6,88.5463,1.28628,2.77783,1.71335,0.57865,0.26224,0.31895,0.18691,1.39712,4.04884,2.10642,0.00137005,0.00137005,0.00137005
7,102.625,1.34808,2.67869,1.79397,0.4906,0.59487,0.54914,0.3203,1.41884,2.50261,2.07751,0.00135826,0.00135826,0.00135826
8,116.383,1.28591,2.3446,1.66458,0.67349,0.44849,0.57956,0.35242,1.43774,2.98904,2.12959,0.00134648,0.00134648,0.00134648
9,131.032,1.2818,2.38668,1.70566,0.70033,0.66361,0.75259,0.44934,1.30752,2.31727,1.8812,0.00133469,0.00133469,0.00133469
10,145.844,1.20491,2.09307,1.61821,0.48815,0.58793,0.55156,0.36252,1.26173,2.45092,1.84035,0.0013229,0.0013229,0.0013229
11,160.362,1.21203,2.03948,1.67272,0.64767,0.46769,0.51462,0.31296,1.3578,2.60543,1.92026,0.00131111,0.00131111,0.00131111
12,174.747,1.26992,1.97631,1.68503,0.6401,0.42681,0.44121,0.20966,1.65772,3.08737,2.24193,0.00129932,0.00129932,0.00129932
13,191.392,1.18008,1.90806,1.66562,0.79509,0.65009,0.74171,0.45572,1.35732,1.81229,1.90792,0.00128753,0.00128753,0.00128753
14,205.53,1.24894,1.7876,1.6731,0.75246,0.81453,0.81819,0.53351,1.27247,1.44477,1.80228,0.00127574,0.00127574,0.00127574
15,220.671,1.14711,1.67668,1.62623,0.88546,0.70485,0.85451,0.54781,1.39136,1.22944,2.0686,0.00126395,0.00126395,0.00126395
16,234.808,1.16354,1.59915,1.59908,0.75188,0.54379,0.69089,0.44979,1.28393,1.65921,1.87611,0.00125216,0.00125216,0.00125216
17,249.643,1.1308,1.47748,1.55482,0.46075,0.72283,0.68383,0.42784,1.24418,1.55273,1.76113,0.00124037,0.00124037,0.00124037
18,264.467,1.15414,1.55184,1.60204,0.82686,0.80604,0.87404,0.60288,1.20069,1.11657,1.70388,0.00122858,0.00122858,0.00122858
19,278.792,1.09931,1.34419,1.47799,0.79544,0.64588,0.75521,0.48675,1.23081,1.89107,1.80275,0.00121679,0.00121679,0.00121679
20,293.15,1.05078,1.34691,1.48954,0.8639,0.85099,0.93312,0.65063,1.16478,1.03358,1.69574,0.001205,0.001205,0.001205
