epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1274,1.80702,4.55401,4.15893,2.18543,0.00401,0.60181,0.03546,0.00984,0.001,0.0936,0.00065,7e-05,1.90672,42.6616,3.94851,3.01118,0.0809333,0.000192593,0.000192593
2,31.9168,1.5297,3.60827,3.01433,2.02014,0.00376,0.94048,0.131,0.04703,0.0023,0.57594,0.01655,0.00303,1.68996,21.3234,2.89601,2.47902,0.0611307,0.000390001,0.000390001
3,45.3946,1.58809,3.56925,2.70949,2.00416,0.20886,0.2812,0.27738,0.08784,0.00225,0.50328,0.03493,0.0079,1.53248,19.4933,2.5864,2.31399,0.0413255,0.00058477,0.00058477
4,57.4768,1.52236,3.38619,2.55299,1.89994,0.22542,0.44581,0.22212,0.09841,0.23622,0.43391,0.20701,0.08566,1.48612,3.60685,2.13795,2.40751,0.0215176,0.000776899,0.000776899
5,69.2645,1.41769,3.29522,2.20352,1.88725,0.57496,0.33826,0.35519,0.15756,0.41555,0.36461,0.35317,0.11679,1.702,3.38793,2.61439,2.53266,0.00170713,0.000966388,0.000966388
6,81.1909,1.41248,3.20154,2.25948,1.88259,0.47288,0.52709,0.51461,0.24058,0.24824,0.44015,0.28901,0.093,1.28323,5.22244,2.45739,2.1353,0.000967,0.000967,0.000967
7,93.4451,1.52258,3.12476,2.26314,1.88785,0.61243,0.32942,0.32402,0.12514,0.60951,0.28859,0.2504,0.10751,1.43983,5.37055,2.66463,2.27507,0.0009604,0.0009604,0.0009604
8,104.822,1.4355,3.08604,2.07745,1.85576,0.46305,0.45673,0.46716,0.24718,0.42707,0.35673,0.39739,0.15715,1.28078,4.84004,1.84454,2.0406,0.0009538,0.0009538,0.0009538
9,116.551,1.42734,2.98698,1.97434,1.81536,0.51937,0.57984,0.57282,0.28268,0.49152,0.28982,0.3047,0.12415,1.35095,4.61377,1.64919,2.02249,0.0009472,0.0009472,0.0009472
10,128.204,1.51726,3.21095,2.16737,1.81419,0.5908,0.58826,0.56697,0.32902,0.5328,0.55213,0.5074,0.2182,1.22296,3.39929,1.59059,2.00761,0.0009406,0.0009406,0.0009406
11,139.72,1.51035,3.29976,2.00628,1.8859,0.57238,0.62583,0.64089,0.31048,0.60218,0.64778,0.65208,0.30292,1.56939,2.40085,1.31447,2.21728,0.000934,0.000934,0.000934
12,151.383,1.36273,2.91333,1.85587,1.75459,0.70965,0.62527,0.68223,0.38175,0.6332,0.56381,0.63385,0.32386,1.18869,2.70526,1.52391,1.90644,0.0009274,0.0009274,0.0009274
13,163.86,1.41817,3.02781,2.00426,1.74653,0.60979,0.71169,0.71238,0.41315,0.60411,0.71305,0.70303,0.32007,1.17698,2.59026,1.60606,1.84557,0.0009208,0.0009208,0.0009208
14,175.356,1.40411,3.14577,1.97798,1.79937,0.61044,0.56322,0.61279,0.37831,0.61044,0.56322,0.61475,0.34495,1.17154,2.16551,1.52223,1.73814,0.0009142,0.0009142,0.0009142
15,187.369,1.39813,3.05356,1.85878,1.77727,0.71807,0.54679,0.61564,0.41136,0.71807,0.54679,0.61693,0.3653,1.11638,2.14996,1.61899,1.75347,0.0009076,0.0009076,0.0009076
16,199.557,1.43988,3.08213,1.81494,1.91878,0.53947,0.66054,0.64397,0.36008,0.56456,0.6619,0.65129,0.31585,1.23401,2.49033,1.76782,1.87468,0.000901,0.000901,0.000901
17,211.169,1.35226,3.05557,1.77378,1.77444,0.73311,0.77931,0.81194,0.4892,0.7497,0.79097,0.8111,0.4487,1.15942,2.08134,1.25448,1.81711,0.0008944,0.0008944,0.0008944
18,222.603,1.258,2.71291,1.66954,1.67413,0.83039,0.73085,0.77462,0.41916,0.81599,0.71936,0.7474,0.33634,1.18147,3.33074,1.49368,1.80488,0.0008878,0.0008878,0.0008878
19,234.585,1.35207,2.88122,1.79721,1.75768,0.67509,0.66079,0.73231,0.41218,0.67509,0.66079,0.72909,0.36606,1.2027,2.2767,1.41438,1.75247,0.0008812,0.0008812,0.0008812
20,246.734,1.39989,2.95493,1.77899,1.74535,0.69322,0.74693,0.77266,0.48838,0.69322,0.74693,0.76907,0.41991,1.18697,2.14033,1.30163,1.78732,0.0008746,0.0008746,0.0008746
21,258.219,1.27008,2.60355,1.66259,1.67009,0.84355,0.75878,0.83713,0.51551,0.82962,0.74687,0.82359,0.42189,1.14769,2.2021,1.1157,1.71704,0.000868,0.000868,0.000868
22,269.928,1.21324,2.66425,1.56249,1.62185,0.78847,0.78736,0.84385,0.53037,0.77635,0.77545,0.84214,0.49396,1.05566,1.87803,1.00944,1.58756,0.0008614,0.0008614,0.0008614
23,281.049,1.26391,2.76303,1.55879,1.67073,0.78864,0.68982,0.8292,0.52873,0.77276,0.66601,0.78431,0.43838,1.06586,2.17463,1.13705,1.66224,0.0008548,0.0008548,0.0008548
24,292.515,1.29543,2.77842,1.66995,1.69651,0.72376,0.64716,0.69004,0.41712,0.7205,0.632,0.66723,0.37924,1.07405,2.05889,1.41091,1.65011,0.0008482,0.0008482,0.0008482
25,303.791,1.25713,2.65043,1.55416,1.62295,0.67985,0.78325,0.80088,0.51009,0.69341,0.77813,0.79422,0.47248,1.1968,1.92502,1.09092,1.74932,0.0008416,0.0008416,0.0008416
26,315.405,1.19006,2.65233,1.40978,1.5662,0.80759,0.76548,0.84945,0.54293,0.77948,0.74178,0.81031,0.48018,1.0963,2.11502,1.08332,1.69388,0.000835,0.000835,0.000835
27,327.24,1.44518,2.84654,1.75455,1.72411,0.69852,0.61412,0.71831,0.42847,0.56998,0.75099,0.71518,0.42787,1.13311,1.90695,1.22869,1.72977,0.0008284,0.0008284,0.0008284
28,338.527,1.26213,2.79036,1.49981,1.64909,0.68911,0.62478,0.73043,0.49019,0.68911,0.62478,0.73488,0.43677,1.05016,2.0094,1.2866,1.54668,0.0008218,0.0008218,0.0008218
29,349.935,1.22142,2.46855,1.33351,1.64132,0.84571,0.73892,0.85351,0.5536,0.84571,0.73892,0.84147,0.50746,1.06083,1.93068,1.02342,1.62696,0.0008152,0.0008152,0.0008152
30,361.366,1.27508,2.67562,1.4771,1.6829,0.85816,0.73575,0.86268,0.56878,0.85816,0.73575,0.84787,0.51873,1.05848,1.93279,0.9351,1.64016,0.0008086,0.0008086,0.0008086
31,373.454,1.2553,2.71185,1.49898,1.64955,0.76378,0.70725,0.81833,0.54396,0.76378,0.70725,0.8035,0.49695,1.02686,2.05956,1.00669,1.64462,0.000802,0.000802,0.000802
32,385.873,1.40554,2.65733,1.67576,1.80564,0.61265,0.76529,0.83358,0.55523,0.62245,0.76872,0.82002,0.50296,1.06497,1.92138,1.13953,1.60482,0.0007954,0.0007954,0.0007954
33,398.204,1.20373,2.56997,1.38326,1.61835,0.78089,0.82266,0.84078,0.57116,0.8032,0.84647,0.85751,0.52603,1.0316,1.81617,0.94169,1.55178,0.0007888,0.0007888,0.0007888
34,410.029,1.19999,2.4581,1.29868,1.61667,0.76504,0.73049,0.79376,0.50777,0.75816,0.71868,0.79458,0.48,1.10419,1.85872,1.13795,1.59617,0.0007822,0.0007822,0.0007822
35,421.974,1.26786,2.71681,1.40574,1.65574,0.80744,0.75194,0.81875,0.53555,0.79817,0.73751,0.81993,0.50249,1.0493,1.83203,1.02993,1.67105,0.0007756,0.0007756,0.0007756
36,433.547,1.23663,2.56445,1.3147,1.61186,0.8266,0.83793,0.90167,0.62678,0.81122,0.8276,0.89441,0.58195,0.98745,1.88771,0.8561,1.55931,0.000769,0.000769,0.000769
