epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1913,1.50359,4.68524,3.90653,1.85455,0.23354,0.42696,0.30655,0.20025,0.20935,0.4064,0.27817,0.12738,1.13633,3.18564,4.53155,1.75443,0.00018577,0.00018577,0.00018577
2,18.0346,1.10546,2.75043,2.05695,1.50713,0.37832,0.48235,0.35734,0.23408,0.25722,0.30665,0.16124,0.0467,1.4449,5.73344,3.90872,2.41997,0.00038392,0.00038392,0.00038392
3,25.4529,1.24558,2.57348,1.69345,1.59371,0.26472,0.56322,0.31562,0.18071,0.20474,0.29146,0.10844,0.02307,1.51851,8.9153,4.09535,3.01934,0.00058009,0.00058009,0.00058009
4,32.7716,1.12886,2.57975,1.5247,1.46332,0.73788,0.06897,0.03566,0.01182,2e-05,0.0119,6e-05,1e-05,3.00115,51.2005,4.10378,4.51138,0.000774279,0.000774279,0.000774279
5,40.0287,1.21653,2.58398,1.53938,1.56241,0.245,0.16133,0.04459,0.00949,0.085,0.11617,0.0422,0.01481,2.62379,51.6944,4.67049,5.07534,0.000966487,0.000966487,0.000966487
6,47.3222,1.37121,2.75799,1.56094,1.66488,0.05964,0.10468,0.04241,0.01428,0.04407,0.0936,0.03488,0.01151,2.54007,29.6737,3.64607,4.09236,0.00115671,0.00115671,0.00115671
7,54.6313,1.43102,2.69831,1.82115,1.76694,0.33578,0.02299,0.00063,0.00019,0,0,0,0,4.99615,82.0752,7.546,6.10294,0.00134496,0.00134496,0.00134496
8,61.8619,1.29436,2.60987,1.56467,1.61291,0.26474,0.07061,0.07037,0.02599,0.24627,0.05911,0.06407,0.01364,3.39594,18.8731,3.8546,3.75087,0.00137949,0.00137949,0.00137949
9,69.1163,1.3553,2.74089,1.55396,1.7862,0.0092,0.31527,0.00991,0.00409,0.01169,0.0234,0.00753,0.00205,3.60807,44.5868,6.60476,4.36495,0.00137241,0.00137241,0.00137241
10,76.484,1.27342,2.65899,1.44743,1.6234,0.34797,0.10345,0.00693,0.00209,0.33496,0.01149,0.00026,3e-05,3.96707,674.795,122.138,9.62942,0.00136534,0.00136534,0.00136534
11,83.8805,1.21495,2.37507,1.35056,1.53973,0.35102,0.31854,0.2466,0.1083,0.31551,0.30706,0.22237,0.06832,2.08014,6.40202,4.3698,3.23423,0.00135826,0.00135826,0.00135826
12,91.2767,1.19906,2.44065,1.26169,1.51128,0.34207,0.51806,0.417,0.18889,0.26718,0.35386,0.29578,0.11047,1.90622,4.7552,3.52295,3.02461,0.00135119,0.00135119,0.00135119
13,98.6701,1.24874,2.44143,1.44238,1.56181,0.24326,0.49071,0.22768,0.09835,0.19669,0.40025,0.16158,0.05704,2.02738,4.92515,7.80768,2.80476,0.00134412,0.00134412,0.00134412
14,105.998,1.1971,2.3932,1.38821,1.55988,0.35197,0.35386,0.20331,0.0908,0.36712,0.32964,0.18481,0.08022,2.442,6.80147,5.43333,3.71766,0.00133704,0.00133704,0.00133704
15,113.464,1.12332,2.25268,1.24492,1.49299,0.57467,0.48563,0.47658,0.25269,0.58789,0.47373,0.4814,0.21229,1.57177,3.36847,3.12755,2.49868,0.00132997,0.00132997,0.00132997
16,121.005,1.15969,2.31707,1.27217,1.50561,0.339,0.26149,0.1298,0.05399,0.65935,0.26153,0.14648,0.05892,2.25341,4.41532,3.42172,3.23528,0.0013229,0.0013229,0.0013229
17,128.502,1.07264,2.44568,1.13218,1.44339,0.66607,0.46025,0.4119,0.18921,0.70943,0.45983,0.41975,0.1563,1.89178,3.6772,2.85391,2.71291,0.00131582,0.00131582,0.00131582
18,136.164,1.16419,2.37553,1.22631,1.51248,0.48538,0.51368,0.56432,0.34505,0.48538,0.51368,0.5529,0.29491,1.45516,3.48003,3.87109,2.45871,0.00130875,0.00130875,0.00130875
19,143.781,1.08632,2.39098,1.17204,1.44857,0.51525,0.50889,0.53181,0.32252,0.58943,0.5193,0.53868,0.2766,1.3791,4.07031,3.98449,2.2097,0.00130168,0.00130168,0.00130168
20,151.422,1.17102,2.27462,1.12541,1.49533,0.54471,0.51357,0.53208,0.3376,0.53118,0.4905,0.49088,0.27128,1.42045,3.56995,2.13067,2.14435,0.0012946,0.0012946,0.0012946
21,159.077,1.21951,2.52209,1.18254,1.52007,0.66501,0.56455,0.56092,0.36282,0.66295,0.55294,0.55635,0.3215,1.25724,2.58326,2.83962,1.88853,0.00128753,0.00128753,0.00128753
22,166.846,1.0513,2.08277,0.99312,1.41794,0.71322,0.75374,0.8021,0.47582,0.67456,0.7259,0.7423,0.44522,1.34043,2.62021,1.32429,2.01331,0.00128046,0.00128046,0.00128046
23,174.676,1.08161,2.08237,0.95137,1.4629,0.70392,0.73845,0.78852,0.46106,0.67574,0.71628,0.73629,0.40918,1.52978,2.60935,1.37477,2.38423,0.00127338,0.00127338,0.00127338
24,182.428,1.10745,2.21703,1.05546,1.44991,0.71212,0.71511,0.78718,0.46183,0.67935,0.6798,0.7152,0.36977,1.43637,3.18758,1.47117,2.03627,0.00126631,0.00126631,0.00126631
25,190.194,1.09579,2.07911,1.08575,1.49683,0.80816,0.721,0.83249,0.5438,0.78486,0.71638,0.82146,0.48212,1.14253,2.49652,1.26308,1.70618,0.00125923,0.00125923,0.00125923
26,198.097,1.08029,2.01513,1.15767,1.42422,0.84429,0.75205,0.85086,0.51543,0.7853,0.79614,0.83505,0.49383,1.38002,2.27543,1.21407,2.07913,0.00125216,0.00125216,0.00125216
27,206.465,1.08079,2.11403,1.10328,1.4301,0.72983,0.68642,0.73405,0.47024,0.71457,0.67527,0.70409,0.35183,1.30499,2.73476,1.38457,1.9722,0.00124509,0.00124509,0.00124509
28,214.102,1.02642,2.25423,1.01488,1.40826,0.65008,0.30406,0.38936,0.25854,0.71839,0.30091,0.38163,0.21455,1.29152,2.48679,3.14342,1.9343,0.00123801,0.00123801,0.00123801
29,221.7,1.02205,2.04941,0.95889,1.39042,0.89792,0.83374,0.89063,0.6343,0.88613,0.82184,0.86804,0.51046,1.10698,2.70526,1.19953,1.72513,0.00123094,0.00123094,0.00123094
30,229.431,0.98532,2.00516,0.94291,1.4268,0.69923,0.61725,0.69736,0.47615,0.69923,0.61725,0.68864,0.40788,1.11324,3.20102,1.72087,1.68263,0.00122387,0.00122387,0.00122387
