epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2402,1.99156,4.66789,5.34356,2.33227,0.04991,0.17488,0.03119,0.00784,0,0,0,0,2.51461,192.209,4.54465,3.57511,0.080695,0.000195,0.000195
2,60.4106,1.74831,3.75868,2.55241,2.18433,0.20521,0.39532,0.13773,0.03956,0.02566,0.10509,0.02596,0.00953,2.1295,13.5234,3.43539,2.868,0.060893,0.000393045,0.000393045
3,88.8345,1.91654,3.66236,2.5945,2.30669,0.38993,0.36412,0.34947,0.14063,0.43334,0.35263,0.36849,0.12674,2.23913,4.47311,4.69358,3.11021,0.0410891,0.00058911,0.00058911
4,116.648,1.70181,3.34842,2.40552,2.12973,0.35783,0.36453,0.28814,0.13815,0.49372,0.33509,0.26178,0.07153,2.34693,4.34689,3.04184,3.11161,0.0212832,0.000783194,0.000783194
5,143.038,1.72232,3.37065,2.39232,2.10179,0.24422,0.34319,0.22283,0.10433,0.22839,0.24239,0.1924,0.06081,1.96608,4.4208,3.05031,2.55064,0.0014753,0.000975299,0.000975299
6,171.398,1.72983,3.28832,2.30382,2.15096,0.64486,0.52709,0.58345,0.27336,0.63816,0.51277,0.54761,0.21378,1.86811,5.69869,2.21252,2.28093,0.00097525,0.00097525,0.00097525
7,197.024,1.69769,3.21677,1.99605,2.03401,0.50813,0.5271,0.51882,0.23888,0.55059,0.49384,0.52203,0.17701,1.87776,4.68315,2.32758,2.50387,0.0009703,0.0009703,0.0009703
8,225.076,1.72088,3.24562,2.13677,2.13352,0.38044,0.57266,0.45816,0.18621,0.57711,0.4298,0.42834,0.16005,1.91718,4.07747,2.19462,2.63066,0.00096535,0.00096535,0.00096535
9,250.433,1.61472,3.37216,2.05418,2.03392,0.60221,0.43,0.56083,0.24549,0.61398,0.4419,0.54704,0.20021,1.79351,3.16412,2.93233,2.30717,0.0009604,0.0009604,0.0009604
10,279.351,1.59561,3.16285,1.97332,1.96579,0.53141,0.65681,0.54399,0.26075,0.47999,0.6211,0.50367,0.18709,1.71935,3.58065,1.77748,2.2143,0.00095545,0.00095545,0.00095545
11,306.727,1.64148,3.34438,2.06628,2.00949,0.53307,0.57898,0.5392,0.20131,0.64709,0.61488,0.61175,0.24369,2.01894,3.00589,1.86025,2.56973,0.0009505,0.0009505,0.0009505
12,335.504,1.58979,3.14031,1.96426,2.02343,0.45249,0.63424,0.4974,0.24392,0.46288,0.63424,0.49451,0.23333,1.74301,2.82536,2.47924,2.26253,0.00094555,0.00094555,0.00094555
13,361.944,1.56672,3.10372,1.89069,1.96715,0.59306,0.62233,0.63111,0.31066,0.65296,0.55701,0.60852,0.30009,1.59186,2.83552,2.04859,2.08143,0.0009406,0.0009406,0.0009406
14,390.328,1.63343,3.2683,1.9042,1.98548,0.66755,0.67836,0.71222,0.36272,0.67252,0.62359,0.66633,0.32627,1.73564,2.9561,1.52289,2.22061,0.00093565,0.00093565,0.00093565
15,417.765,1.60953,3.24172,1.97593,2.03608,0.48911,0.62781,0.59587,0.28739,0.48266,0.60016,0.5819,0.27841,1.83566,2.88336,1.58002,2.33378,0.0009307,0.0009307,0.0009307
16,447.937,1.5453,3.08576,1.8761,2.00128,0.5545,0.76519,0.67791,0.32996,0.53925,0.73916,0.65046,0.27266,1.64199,3.49415,1.69959,2.08375,0.00092575,0.00092575,0.00092575
17,476.993,1.69991,3.23593,1.89949,2.06074,0.48895,0.6432,0.64493,0.34522,0.48485,0.57654,0.64009,0.33278,1.62689,2.64273,1.53719,2.11573,0.0009208,0.0009208,0.0009208
18,504.78,1.56067,2.99354,1.79764,1.93577,0.53172,0.75,0.68252,0.33188,0.52367,0.7381,0.68637,0.34473,1.64704,2.63929,1.97266,2.02694,0.00091585,0.00091585,0.00091585
19,534.557,1.58751,3.18292,1.96403,1.95663,0.69793,0.54844,0.65122,0.3152,0.67794,0.53654,0.63141,0.30738,1.63841,2.8398,1.67605,2.09387,0.0009109,0.0009109,0.0009109
20,562.9,1.53311,3.05209,1.78399,1.93816,0.69434,0.58849,0.68001,0.35274,0.67378,0.57658,0.6538,0.3437,1.62165,2.4216,1.40839,2.05964,0.00090595,0.00090595,0.00090595
21,589.823,1.3832,2.68909,1.51059,1.80427,0.61104,0.7461,0.756,0.40168,0.61104,0.7461,0.74505,0.39281,1.59044,2.34793,1.24992,2.10187,0.000901,0.000901,0.000901
