epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55308,1.49015,4.7873,7.01569,1.49131,0.51488,0.75191,0.67048,0.42269,0.52111,0.54105,0.56694,0.28606,1.6488,5.9399,3.56229,1.87344,0.00027151,0.00027151,0.00027151
2,16.9662,1.41918,3.29851,3.54266,1.41834,0.67879,0.75428,0.74793,0.48645,0.62479,0.70758,0.67096,0.37947,1.54962,5.76472,4.65566,2.2009,0.000554551,0.000554551,0.000554551
3,24.3628,1.49905,3.16485,3.11595,1.45092,0.6915,0.72989,0.77995,0.50278,0.67325,0.72128,0.7589,0.4528,1.83427,5.68293,3.43811,2.6617,0.000834763,0.000834763,0.000834763
4,31.5905,1.51335,3.0636,2.47592,1.43792,0.55883,0.72701,0.69909,0.43913,0.55883,0.72701,0.70772,0.40029,1.67996,9.76759,5.35748,3.04687,0.00111215,0.00111215,0.00111215
5,38.7566,1.60095,3.11455,2.55885,1.49054,0.62672,0.63259,0.62191,0.34791,0.63884,0.62024,0.61778,0.29659,2.56888,12.2318,4.62864,3.86119,0.0013867,0.0013867,0.0013867
6,45.9413,1.5757,3.09467,2.34154,1.4784,0.8032,0.67878,0.75987,0.48512,0.75127,0.65562,0.70299,0.42261,1.78366,8.54841,3.39359,2.6763,0.00139363,0.00139363,0.00139363
7,53.0626,1.49626,2.9705,2.29926,1.42489,0.66823,0.65752,0.72998,0.50516,0.67642,0.64875,0.70536,0.43999,1.55803,4.89713,3.75159,1.9568,0.00138656,0.00138656,0.00138656
8,60.2614,1.48266,3.10436,2.20598,1.40378,0.64105,0.74469,0.73895,0.46928,0.74048,0.65301,0.73957,0.42705,1.69431,3.849,4.05143,2.02914,0.00137949,0.00137949,0.00137949
9,67.4922,1.47633,2.89091,2.08978,1.39022,0.78556,0.83197,0.84628,0.5162,0.77481,0.82033,0.84605,0.46965,1.75545,4.72588,2.64125,2.07618,0.00137241,0.00137241,0.00137241
10,74.9047,1.36386,2.91118,1.86539,1.34263,0.83457,0.7961,0.8877,0.50337,0.81103,0.77319,0.83452,0.48828,1.6251,3.96743,2.27893,2.01686,0.00136534,0.00136534,0.00136534
11,82.2667,1.37903,2.82116,1.82228,1.3349,0.87324,0.77392,0.87314,0.61552,0.85833,0.76708,0.84837,0.54321,1.41661,3.04646,2.53386,1.63986,0.00135826,0.00135826,0.00135826
12,89.5629,1.33047,2.69986,1.69419,1.31448,0.89708,0.81426,0.91446,0.62233,0.88134,0.80352,0.86517,0.555,1.48809,2.93145,2.19631,1.81242,0.00135119,0.00135119,0.00135119
13,96.953,1.34157,2.59406,1.70029,1.32096,0.81035,0.82143,0.90091,0.60997,0.78135,0.79762,0.81788,0.54797,1.44025,3.41381,2.573,1.59151,0.00134412,0.00134412,0.00134412
14,104.273,1.30222,2.78232,1.70275,1.31281,0.90377,0.80025,0.89442,0.62886,0.90377,0.80025,0.86595,0.55864,1.4031,2.93878,2.00639,1.55151,0.00133704,0.00133704,0.00133704
15,111.59,1.28709,2.50935,1.54557,1.29404,0.83914,0.91455,0.94548,0.68523,0.96553,0.80326,0.90143,0.61463,1.33076,3.07203,1.41619,1.48715,0.00132997,0.00132997,0.00132997
16,118.831,1.27564,2.56188,1.54905,1.2932,0.82548,0.83515,0.89774,0.67005,0.81258,0.82415,0.86779,0.59898,1.24532,3.07131,1.8039,1.36311,0.0013229,0.0013229,0.0013229
17,125.991,1.28504,2.50125,1.61349,1.30044,0.92787,0.88397,0.94941,0.67068,0.91529,0.87206,0.92161,0.61434,1.34613,2.69139,1.53096,1.49422,0.00131582,0.00131582,0.00131582
18,133.099,1.19125,2.43543,1.4823,1.25072,0.95394,0.90476,0.96234,0.70325,0.92586,0.88095,0.92711,0.61953,1.30073,2.58076,1.35512,1.46809,0.00130875,0.00130875,0.00130875
19,140.313,1.22254,2.51518,1.51503,1.24735,0.92992,0.91974,0.96559,0.70936,0.93507,0.9159,0.95806,0.64481,1.31117,2.65029,1.31383,1.51277,0.00130168,0.00130168,0.00130168
20,147.595,1.17141,2.39031,1.45276,1.21846,0.95589,0.92939,0.97661,0.69682,0.95589,0.92939,0.95778,0.61758,1.33401,2.64925,1.21392,1.47649,0.0012946,0.0012946,0.0012946
21,154.827,1.16194,2.29695,1.46785,1.2351,0.93354,0.94212,0.95962,0.71821,0.92028,0.93021,0.93221,0.62657,1.24915,2.82326,1.31394,1.38074,0.00128753,0.00128753,0.00128753
